marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.3523301612028401,0.009887100294646775,0.35063332002111725,0.04046964651426604,1.0,True
hERG-10um,0.33944089419487916,0.010274363658601258,0.3418622865487481,0.04173384671786052,1.0,False
Respiratory,0.33772399881267007,0.006545969397934106,0.3384563799706016,0.025800050965573564,1.0,True
Neurotoxicity-DI,0.23952753017726425,0.007729991868623793,0.221462774961467,0.030472546873818094,1.0,True
SkinSen,0.07077695475025503,0.01413530533574801,0.06229180155701989,0.05474353217015017,1.0,False
Nephrotoxicity-DI,0.0577534010181919,0.007673944376242314,0.04336297634043273,0.030514315618316405,1.0,False
Acute_Aquatic_Toxicity,0.03815963702362261,0.010012489437650967,0.04910017466376528,0.03964068459099117,1.0,False
NonGenotoxic_Carcinogenicity,0.023492561565718155,0.007853683170963993,0.01590881902301917,0.03169765075818736,1.0,False
Skin_Sensitization,0.01572537354621699,0.009226709078441543,0.029462202393815886,0.03800180166413589,0.9666666666666667,False
Genotoxicity,-0.011688145878455845,0.009101301897491346,-0.009708483611397289,0.03682519060676069,0.1,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.020720591014826664,0.007740692138978781,-0.016159690385193857,0.030691798179542155,0.0,False
H-HT,-0.043934118924276046,0.00812866563374861,-0.040058588501210426,0.03211503814742872,0.0,False
Ames,-0.0602077258571163,0.009215276811853341,-0.057801293863089784,0.03557115689699367,0.0,False
Ototoxicity,-0.062419983337576264,0.009422646711396386,-0.0582820065282359,0.039069018867624636,0.0,False
EC,-0.11878224100219122,0.012194390186099476,-0.11872583178061835,0.0478928275820518,0.0,False
Carcinogenicity,-0.12253322898441014,0.009086770728173947,-0.1261547398286071,0.03558211211342135,0.0,False
Hematotoxicity,-0.13067568960204917,0.008679181539910551,-0.13064506392272499,0.03499537288405942,0.0,False
DILI,-0.19425467044327713,0.010317461865790783,-0.19073646841166564,0.03930490360200488,0.0,False
EI,-0.20263300772517578,0.013125063520180242,-0.19744684252123937,0.05070597310409312,0.0,False
