method,coverage,coverage_ci_low,coverage_ci_high,mean_width,width_ci_low,width_ci_high,median_width,width_p10,width_p90,mean_interval_score,interval_score_ci_low,interval_score_ci_high,fallback_fraction
global,0.8957326892109501,0.883112472824818,0.9087221504946472,1.5600854578810806,1.5600854578810863,1.5600854578810865,1.5600854578810806,1.5600854578810806,1.5600854578810806,2.4707200874572877,2.3115338329485207,2.631120595672097,0.0
joint,0.8900966183574879,0.8774677231424848,0.9033683160383346,1.4933110217661822,1.4807041232453486,1.5054818955952527,1.497798470846663,1.1640537563086903,1.83135465035991,2.385392625780788,2.2257305629906887,2.553305111515723,0.009259259259259259
pheno,0.9009661835748792,0.8882152402120155,0.9133041571115882,1.5294322914396292,1.5184647793294657,1.5403954193909837,1.5573638158303256,1.2441411742008333,1.83135465035991,2.4100887779919478,2.2506896334587694,2.576748881610441,0.0008051529790660225
mie,0.8921095008051529,0.8790259149080536,0.905662432280964,1.5150106733714321,1.508537104293083,1.5215828905587208,1.465424658469816,1.3954350474750354,1.7145340129566644,2.4336741385608183,2.2744479858609408,2.5962788587559467,0.0008051529790660225
