method,coverage,coverage_ci_low,coverage_ci_high,mean_width,width_ci_low,width_ci_high,median_width,width_p10,width_p90,mean_interval_score,interval_score_ci_low,interval_score_ci_high,fallback_fraction
global,0.9040284360189572,0.8870028982769207,0.9201108233154064,1.6525852490178576,1.6525852490178108,1.65258524901782,1.652585249017858,1.652585249017858,1.652585249017858,2.416837116528118,2.25490570949603,2.587011343969429,0.0
joint,0.8941548183254344,0.8785651893901414,0.909095612907272,1.528645831199062,1.5044743497850912,1.552193713672451,1.4515854616065598,1.1777944534480058,2.0297829006453005,2.309559467456994,2.147160103191293,2.477486470513009,0.0122432859399684
pheno,0.905608214849921,0.890841676889957,0.9193495482896,1.6189329648066166,1.59522536664563,1.6432696086987837,1.514967659296957,1.3024058807685046,2.0679347222039635,2.3257815949214673,2.1721675664194326,2.4836414772488853,0.0031595576619273
mie,0.8953396524486572,0.87834827431645,0.9117773493954692,1.560810761406967,1.5524282439549433,1.5693077073719164,1.5268794045813134,1.4606753750672468,1.6774170585376558,2.380623027516819,2.2112719124335936,2.5621785535599457,0.0051342812006319
joint_h0.6,0.8850710900473934,0.8682935355829637,0.9009337494826872,1.5087778753965384,1.4840589054282192,1.5327119120298147,1.448829179969593,1.079650902452684,2.059837878019791,2.338681550291265,2.163415388920096,2.5206307316046104,0.0829383886255924
joint_h1.2,0.8929699842022117,0.87672256712806,0.908525435082768,1.527592016266558,1.5093035665420933,1.5461471081382443,1.4790938123484767,1.277566679881578,1.870339415636657,2.327031203991199,2.1579313074395583,2.5046005513852356,0.0047393364928909
