regime,metric,mean,sd_between_splits,min,max
cluster_disjoint,rmse,0.5233274477343776,0.013039633997093803,0.5068335874985385,0.5420894819630621
cluster_disjoint,global_coverage,0.8987218655237319,0.01180210450839187,0.8869459129727532,0.915793883535819
cluster_disjoint,joint_coverage,0.8937206599038096,0.013978867152608326,0.874706342991386,0.9141181399245916
cluster_disjoint,global_width,1.6056483101616656,0.09929986235182091,1.5177788776029342,1.7545971658214623
cluster_disjoint,joint_width,1.516211361506537,0.09159827232838173,1.425959162013153,1.664277092124796
cluster_disjoint,global_score,2.4780053990625803,0.06490148824777951,2.414639972369202,2.5625696545199053
cluster_disjoint,joint_score,2.3974158280666087,0.07502576326965299,2.309559467456994,2.5147313114159067
molecule_random_matched_sizes,rmse,0.4902724953880053,0.005280452314977197,0.4816928724419755,0.4959895316595232
molecule_random_matched_sizes,global_coverage,0.9001066476189369,0.006072271547460801,0.8899765074393109,0.906158357771261
molecule_random_matched_sizes,joint_coverage,0.8968955510865438,0.004982679836727206,0.8888018794048551,0.9023879346459992
molecule_random_matched_sizes,global_width,1.4775980779827724,0.04161434975767869,1.430219749929979,1.5246841419539665
molecule_random_matched_sizes,joint_width,1.4085526389619212,0.03130534401128718,1.3669442478522746,1.4445011759091866
molecule_random_matched_sizes,global_score,2.291025843653279,0.01918126975131333,2.2608142101938165,2.311065756894379
molecule_random_matched_sizes,joint_score,2.214838086760506,0.018611601538007522,2.1866002236541573,2.2369936593687205
