run,method,coverage,coverage_ci_low,coverage_ci_high,mean_width,width_ci_low,width_ci_high,median_width,width_p10,width_p90,mean_interval_score,interval_score_ci_low,interval_score_ci_high,fallback_fraction
butina03_seed42,global,0.9106252397391638,0.8972101578395897,0.923588428960522,1.5670278942749434,1.5670278942749216,1.5670278942749365,1.5670278942749434,1.5670278942749434,1.5670278942749434,2.377274929513609,2.2166967593511786,2.563253894521805,0.0
butina03_seed42,joint,0.9025700038358266,0.8887128382071363,0.9161743092747188,1.4882028439713293,1.4678450485774968,1.508589783158763,1.4850920053792986,1.0928049483326283,1.8413640821883936,2.295205127470767,2.130898060074155,2.483181743868093,0.0095895665515918
butina03_seed42,pheno,0.9083237437667816,0.8945728716471153,0.9213542209836344,1.5295700171600637,1.5092538571776697,1.548578997785435,1.5617102018333997,1.1156400994763145,1.8827419562934784,2.308113038962598,2.143495534917636,2.497419338692779,0.0003835826620636
butina03_seed42,mie,0.905638665132336,0.891467187597514,0.9186438624486818,1.5331167280946627,1.5249174452291006,1.5434184697289224,1.520881047771467,1.4375024839640984,1.6285903458089357,2.3567671474202956,2.19541879010425,2.538320967687902,0.0076716532412734
butina03_seed42,joint_h0.6,0.8991177598772535,0.8846780440878322,0.9127294896922185,1.4829021781296083,1.4589863249552706,1.505465980350274,1.4850920053792986,1.0157943610729792,1.898480490963185,2.2997326785128283,2.132633067468227,2.48864136030759,0.0682777138473341
butina03_seed42,joint_h1.2,0.9041043344840812,0.8898103708410495,0.917188461269575,1.500845855976998,1.4843699663825296,1.5181680032421896,1.520881047771467,1.1898534927047528,1.7825163836363913,2.3111138473393793,2.144193036028164,2.5012291610205613,0.0049865746068277
butina04_seed42,global,0.9040284360189572,0.8870028982769207,0.9201108233154064,1.6525852490178576,1.6525852490178108,1.65258524901782,1.652585249017858,1.652585249017858,1.652585249017858,2.416837116528118,2.25490570949603,2.587011343969429,0.0
butina04_seed42,joint,0.8941548183254344,0.8785651893901414,0.909095612907272,1.528645831199062,1.5044743497850912,1.552193713672451,1.4515854616065598,1.1777944534480058,2.0297829006453005,2.309559467456994,2.147160103191293,2.477486470513009,0.0122432859399684
butina04_seed42,pheno,0.905608214849921,0.890841676889957,0.9193495482896,1.6189329648066166,1.59522536664563,1.6432696086987837,1.514967659296957,1.3024058807685046,2.0679347222039635,2.3257815949214673,2.1721675664194326,2.4836414772488853,0.0031595576619273
butina04_seed42,mie,0.8953396524486572,0.87834827431645,0.9117773493954692,1.560810761406967,1.5524282439549433,1.5693077073719164,1.5268794045813134,1.4606753750672468,1.6774170585376558,2.380623027516819,2.2112719124335936,2.5621785535599457,0.0051342812006319
butina04_seed42,joint_h0.6,0.8850710900473934,0.8682935355829637,0.9009337494826872,1.5087778753965384,1.4840589054282192,1.5327119120298147,1.448829179969593,1.079650902452684,2.059837878019791,2.338681550291265,2.163415388920096,2.5206307316046104,0.0829383886255924
butina04_seed42,joint_h1.2,0.8929699842022117,0.87672256712806,0.908525435082768,1.527592016266558,1.5093035665420933,1.5461471081382443,1.4790938123484767,1.277566679881578,1.870339415636657,2.327031203991199,2.1579313074395583,2.5046005513852356,0.0047393364928909
butina04_seed43,global,0.8869459129727532,0.8654538261953644,0.9047016864295124,1.5242703610311563,1.5242703610311297,1.5242703610311343,1.5242703610311563,1.5242703610311563,1.5242703610311563,2.474092587366966,2.255413731695946,2.708574373001189,0.0
butina04_seed43,joint,0.8938592923952826,0.8757151500775513,0.9102855530701488,1.4602301437461618,1.4420350821969512,1.4781931181225376,1.4389443652345948,1.179940329218482,1.7673412921465967,2.3929474001303257,2.1748622048345765,2.627181203633527,0.0085400569337128
butina04_seed43,pheno,0.8934526230174867,0.8763413269445504,0.9088320506015568,1.4900079544851983,1.4704209845657046,1.5096767489201777,1.472484647298499,1.2007624955215643,1.7998473927997096,2.417686175029649,2.2008059132751914,2.657198748301528,0.0008133387555917
butina04_seed43,mie,0.8857259048393656,0.8645994578010233,0.9033904222166704,1.4879787507161395,1.4826429908112773,1.4936048354540508,1.472484647298499,1.4207150674730276,1.599949227776758,2.4512393506543178,2.2290923873810424,2.688563196984531,0.0065067100447336
butina04_seed44,global,0.915793883535819,0.9003550788166828,0.9308999264385762,1.7545971658214623,1.7545971658214528,1.754597165821473,1.7545971658214627,1.7545971658214627,1.7545971658214627,2.52188766452871,2.328743275648542,2.7211753195268216,0.0
butina04_seed44,joint,0.9141181399245916,0.8990180186664832,0.929317291040658,1.664277092124796,1.644149157372679,1.6841799772764303,1.6619738710701135,1.4050408044910725,1.9711305826580752,2.403649650723001,2.205352512056795,2.6045755319505393,0.0054461667364893
butina04_seed44,pheno,0.9187264348554672,0.9042094234601056,0.9332804448060754,1.7195668670284727,1.6949214117515377,1.74275894347416,1.7545971658214627,1.407915008725496,2.0049080741704026,2.4276225001633063,2.2332434743279284,2.6263196595696483,0.0
butina04_seed44,mie,0.9141181399245916,0.89863995968217,0.9293679356721262,1.6764532511711203,1.6696069717509552,1.6838738541871574,1.6619738710701135,1.5697023786965358,1.79553655842368,2.445962864048292,2.25382668172591,2.648179651877294,0.0037704231252618
butina04_seed45,global,0.8888018794048551,0.8701094054333998,0.9060567873695494,1.5177788776029342,1.5177788776028904,1.5177788776029002,1.5177788776029342,1.5177788776029342,1.5177788776029342,2.5625696545199053,2.3028024949938186,2.8743216903332613,0.0
butina04_seed45,joint,0.874706342991386,0.85483186814521,0.8935290053656487,1.425959162013153,1.3989714647798053,1.4539681537582028,1.4567839846213566,0.9717250412955672,1.8221156503776887,2.5147313114159067,2.269410979710417,2.8047736944993114,0.0137039937353171
butina04_seed45,pheno,0.8778386844166014,0.8582445214062939,0.8957872700687449,1.4543903617167575,1.4259630081860013,1.483718678250194,1.4731091177925704,0.9769148543985082,1.8601397840408591,2.5336309531096006,2.284248022655462,2.8402307008389007,0.0
butina04_seed45,mie,0.8872357086922474,0.8693681769453747,0.9036666451794814,1.4950787828489391,1.4850683327251732,1.5064295137762875,1.4743109384128346,1.4129222687354757,1.5864713061528644,2.53125869041408,2.2865600305428337,2.816728528425425,0.0090054815974941
butina04_seed46,global,0.8980392156862745,0.8782361082152292,0.9154190425134427,1.5790098973349176,1.5790098973349076,1.579009897334917,1.5790098973349176,1.5790098973349176,1.5790098973349176,2.414639972369202,2.2045098130869754,2.6546586622084254,0.0
butina04_seed46,joint,0.8917647058823529,0.8712529074083238,0.909706842557283,1.501944578449511,1.4825209917575286,1.5215656170642038,1.5124916955396843,1.190627838880579,1.8063567099231932,2.366191310606816,2.1423162173462873,2.6343225753700557,0.0294117647058823
butina04_seed46,pheno,0.9003921568627451,0.8805964508523144,0.9174978625041614,1.5598851279388728,1.5313708664325465,1.5938074920437066,1.549873387671635,1.2209054136759772,1.7881904070193495,2.397008911416778,2.1765927290710163,2.6589058567731603,0.0015686274509803
butina04_seed46,mie,0.8972549019607843,0.8774168098237577,0.9149812030075188,1.544814815200439,1.5378958980979467,1.5534577571910808,1.522570700316317,1.4688101784987009,1.6442711839651984,2.3987191593532504,2.184948073506712,2.644193352822968,0.0090196078431372
butina05_seed42,global,0.9101796407185628,0.8923612654034824,0.9262487633816372,1.6222572971252838,1.6222572971252602,1.622257297125276,1.6222572971252849,1.6222572971252849,1.6222572971252849,2.471464372613821,2.23278774651307,2.7530823433716467,0.0
butina05_seed42,joint,0.8993263473053892,0.8817996226420727,0.9164212892125664,1.5148341038259212,1.4860800684242907,1.5469354544627147,1.462032316593703,1.1506024058891064,2.009017017376463,2.376488378642327,2.1385746810193456,2.658534866351045,0.0104790419161676
butina05_seed42,pheno,0.9041916167664672,0.8867463133532691,0.9204865786739418,1.5341629153284324,1.504861418905376,1.5667519502706664,1.485644456823353,1.1506024058891064,2.0323794684628353,2.381070782771238,2.1414094689193695,2.668603047103623,0.0018712574850299
butina05_seed42,mie,0.9113023952095808,0.8942925584582463,0.9271554500926058,1.6139106829455503,1.6121725175046977,1.6159280203343411,1.616855907210173,1.5919583267256645,1.6347896621856517,2.455732613040708,2.223296171686457,2.728960941693737,0.0071107784431137
butina05_seed42,joint_h0.6,0.8922155688622755,0.873706854368859,0.9091887745702876,1.5148061509151312,1.480092017745608,1.5502023177093491,1.452601069958333,1.073287701834059,2.1293659529362214,2.3896013224413286,2.149592826505848,2.6754760660928345,0.0538922155688622
butina05_seed42,joint_h1.2,0.9019461077844312,0.8835907300403387,0.9185816458559896,1.5229661005873014,1.5011823592448823,1.5481624960537048,1.480950435202142,1.2392295733476129,1.9228018373686604,2.384503806247692,2.1420105031771457,2.671668439779017,0.0074850299401197
random_size_matched_seed42,global,0.9004739336492891,0.8884049377677399,0.9122728506423234,1.4472895325093038,1.4472895325093256,1.447289532509327,1.4472895325093045,1.4472895325093045,1.4472895325093045,2.2895118533142296,2.1330902242801097,2.4640164658743373,0.0
random_size_matched_seed42,joint,0.8984992101105845,0.885837237651607,0.9105996244330554,1.3903515654774794,1.3793203995468772,1.4011751035166418,1.3916204064654574,1.1276813416283709,1.6840071092213291,2.209382863854262,2.054425947052375,2.383871912131839,0.009083728278041
random_size_matched_seed42,pheno,0.9024486571879936,0.8898162998108018,0.9144344928164828,1.4240790579300369,1.4130985069174251,1.4349889681364454,1.4434856571170709,1.1377941181589222,1.7125189532193144,2.224398561840246,2.0713928036836444,2.396981708678261,0.0015797788309636
random_size_matched_seed42,mie,0.8961295418641391,0.883756651442629,0.9084923675307476,1.417826162602131,1.4146192512005498,1.4213717746639924,1.3998635810073043,1.3572333791293394,1.482559887774154,2.2669960093780657,2.110968979634122,2.4414405130642547,0.0055292259083728
random_size_matched_seed42,joint_h0.6,0.8965244865718799,0.8837083992216663,0.908590538792926,1.3900830677599585,1.3770499624241126,1.4030659123038325,1.3855789396684548,1.085529124286306,1.7496627203173194,2.212341773528548,2.0587005910619,2.383528898579988,0.0604265402843601
random_size_matched_seed42,joint_h1.2,0.9004739336492891,0.8877378424830654,0.9126231329350262,1.395252616779998,1.386166184426655,1.4041449287194865,1.3994018032585398,1.15706567596727,1.6367473646048047,2.224452491454805,2.0686477457214916,2.3988423376055605,0.0047393364928909
random_size_matched_seed43,global,0.901179341195608,0.8877881436847088,0.9136970629115976,1.469677798745726,1.4696777987456973,1.4696777987457046,1.4696777987457263,1.4696777987457263,1.4696777987457263,2.2608142101938165,2.1139543898345323,2.410591364441463,0.0
random_size_matched_seed43,joint,0.8979259861732412,0.884645456943097,0.9106568339742293,1.408638447340609,1.3977434693178488,1.42114483457728,1.4176779833576667,1.103910669909364,1.6589966571687924,2.1866002236541573,2.040924708114672,2.3399011194966133,0.0073200488003253
random_size_matched_seed43,pheno,0.8999593330622204,0.887075553687886,0.9130443695741304,1.4285452106379612,1.418013604843993,1.440432375011959,1.463670774082325,1.1643423884767865,1.63094660130594,2.200450093943784,2.0535066319946247,2.353852665760357,0.0008133387555917
random_size_matched_seed43,mie,0.898332655551037,0.8847879742302825,0.9109225644326367,1.442908665563288,1.4395270989522284,1.446110533580341,1.436943143384788,1.3778662200563725,1.5185429361321523,2.241163287245255,2.0959904454387863,2.391485400462013,0.0056933712891419
random_size_matched_seed44,global,0.906158357771261,0.8930017375990219,0.918050123550288,1.5246841419539665,1.524684141953926,1.5246841419539283,1.5246841419539665,1.5246841419539665,1.5246841419539665,2.303455558416152,2.155745428067701,2.4625259212483868,0.0
random_size_matched_seed44,joint,0.9023879346459992,0.8898022466405375,0.9143640935919228,1.4445011759091866,1.4328964398179311,1.456522556145884,1.4494771086203526,1.156191872099746,1.7535316769029308,2.2213153531988983,2.076871255956096,2.3797710101577323,0.009635525764558
