method,coverage,coverage_ci_low,coverage_ci_high,mean_width,width_ci_low,width_ci_high,median_width,width_p10,width_p90,mean_interval_score,interval_score_ci_low,interval_score_ci_high,fallback_fraction
global,0.8869459129727532,0.8654538261953644,0.9047016864295124,1.5242703610311565,1.5242703610311295,1.5242703610311343,1.5242703610311565,1.5242703610311565,1.5242703610311565,2.474092587366966,2.255413731695946,2.708574373001189,0.0
joint,0.8938592923952826,0.8757151500775513,0.9102855530701489,1.4602301437461618,1.4420350821969512,1.4781931181225376,1.4389443652345948,1.179940329218482,1.7673412921465967,2.3929474001303257,2.1748622048345765,2.627181203633527,0.00854005693371289
pheno,0.8934526230174867,0.8763413269445504,0.9088320506015569,1.4900079544851985,1.4704209845657046,1.5096767489201777,1.472484647298499,1.2007624955215643,1.7998473927997096,2.417686175029649,2.2008059132751914,2.657198748301528,0.0008133387555917039
mie,0.8857259048393656,0.8645994578010233,0.9033904222166703,1.4879787507161397,1.4826429908112773,1.4936048354540508,1.472484647298499,1.4207150674730276,1.599949227776758,2.4512393506543178,2.2290923873810424,2.688563196984531,0.0065067100447336315
