method,coverage,coverage_ci_low,coverage_ci_high,mean_width,width_ci_low,width_ci_high,median_width,width_p10,width_p90,mean_interval_score,interval_score_ci_low,interval_score_ci_high,fallback_fraction
global,0.9011793411956079,0.8877881436847088,0.9136970629115975,1.4696777987457261,1.4696777987456973,1.4696777987457046,1.4696777987457263,1.4696777987457263,1.4696777987457263,2.2608142101938165,2.1139543898345323,2.410591364441463,0.0
joint,0.8979259861732412,0.884645456943097,0.9106568339742293,1.408638447340609,1.3977434693178488,1.4211448345772801,1.4176779833576667,1.103910669909364,1.6589966571687924,2.1866002236541573,2.040924708114672,2.3399011194966133,0.0073200488003253355
pheno,0.8999593330622204,0.887075553687886,0.9130443695741305,1.4285452106379612,1.418013604843993,1.440432375011959,1.463670774082325,1.1643423884767863,1.63094660130594,2.200450093943784,2.0535066319946247,2.353852665760357,0.0008133387555917039
mie,0.898332655551037,0.8847879742302825,0.9109225644326367,1.4429086655632881,1.4395270989522284,1.446110533580341,1.436943143384788,1.3778662200563723,1.5185429361321523,2.241163287245255,2.0959904454387863,2.391485400462013,0.0056933712891419274
