quadrant,n,clusters,joint_width,pheno_width,mie_width,coverage,coverage_ci_low,coverage_ci_high,interval_lt_global_n
Pheno+ MIE+,735,517,1.1990471951577002,1.250042408495415,1.4287234568513587,0.8789115646258503,0.8457146735532988,0.9089692101740294,733
Pheno+ MIE-,466,350,1.3092866189291144,1.3084786242240338,1.4670273530294757,0.8969957081545065,0.8641372476393425,0.9242432678679894,410
Pheno- MIE+,551,435,1.6668626763382883,1.6718427436999206,1.4233515286638496,0.8838475499092558,0.8488539160435541,0.9149757256416935,198
Pheno- MIE-,735,629,1.629410437860754,1.694460012919914,1.4906824121403612,0.8666666666666667,0.8389310195622964,0.8921848822835607,132
