target,training_mean,training_sd
1m2z,-6.083805011843924,6.5049038905649414
1pbq,-6.9283256451813795,1.3157274840538302
1xoq,-7.00789178406684,1.7468631993621402
2rh1,-7.536180027427987,1.868476160192317
2vt4,-7.386946764742562,1.531455632837854
2ydo,-6.6950504924573,4.571513699216707
2z5x,-5.293142999625985,7.941033799913501
3b66,-5.480575988031395,6.532236994473432
3kk6,-6.711507293354923,2.921254430898942
3ln1,-6.811183144246369,2.878296164983759
3rze,-6.46131405061712,3.199615161801735
4djh,-6.823775090387718,1.2827296474678611
4ey7,-7.751115820969963,2.990606632123619
4iar,-7.157075177658655,2.0309870723805603
4mqs,-1.4882059593566888,12.113673480280895
4n6h,-6.509587333250215,1.36952934028362
5cxv,-7.228412916095243,2.680380603865048
5i71,-7.421206832065824,1.6314574770117534
5tvn,-7.073507044009488,1.4164888366019415
5u09,-7.04551801521005,2.71711369217197
5va1,-4.8725969330507395,0.8528644289588784
6cm4,-7.1751776586460565,1.5986914871210243
6kpf,-7.12130657025308,3.7254575054785533
6kux,-6.4875077920458795,1.1929774297245916
6lqa,-6.756401944894641,1.4069724924746752
6pdj,-6.549008851764152,1.362427257310947
6x3x,-7.522540830320409,1.7941136008489988
6y1z,-7.181373893529483,1.9040366590521196
7f8y,-6.925570377758369,1.691208208140407
7kwe,-7.299202094501914,1.4225215277794665
7ljd,-6.646428126168826,1.3476799092292906
7wc9,-7.8209824211445085,2.2175974092152706
7xnk,-6.1940406433113235,1.1495284584091399
7ym8,-6.754294975688818,3.8953647669069076
8e9y,-5.616444333624246,6.034406202868618
8ef6,-6.653172921082168,1.3195589129959224
8fhs,-6.318127415534229,1.3614422613597124
8pjk,-7.032365041765358,1.5439470042623757
8st0,-3.853222790175792,8.304597942586705
8wty,-7.489602293978323,1.8284135136711157
8xvk,-5.931816481735448,0.9431371039202286
8yn3,-6.007991522254086,3.977351379052164
9eo4,-7.171811494826097,3.1253350715060835
V1A,-5.800673232763999,1.1137373868107687
