seed,comparison,normalized_score,reference_score,delta,ci_low,ci_high,normalized_coverage,normalized_width,normalized_fallback_fraction
42,raw_mean44,2.341152225605094,2.309559467456994,0.03159275814809951,0.007194601759897292,0.06489666521410001,0.8957345971563981,1.5693952580358854,0.013428120063191154
42,phenotype_only,2.341152225605094,2.3257815949214673,0.015370630683626308,-0.020615908995273942,0.059444644768699505,0.8957345971563981,1.5693952580358854,0.013428120063191154
43,raw_mean44,2.401904791776883,2.3929474001303257,0.008957391646557043,-0.0009101462506998792,0.01984844490212708,0.8910126067507117,1.4668596183198428,0.01057340382269215
43,phenotype_only,2.401904791776883,2.417686175029649,-0.01578138325276618,-0.054629281632137656,0.01506576854674102,0.8910126067507117,1.4668596183198428,0.01057340382269215
44,raw_mean44,2.401897495115203,2.403649650723001,-0.0017521556077975166,-0.011372694134864055,0.007998980916082591,0.9145370758273984,1.6606610744419812,0.00754084625052367
44,phenotype_only,2.401897495115203,2.4276225001633063,-0.025725005048102923,-0.04417863578251856,-0.006728826104771635,0.9145370758273984,1.6606610744419812,0.00754084625052367
45,raw_mean44,2.5365717668292924,2.514731311415907,0.021840455413385754,-0.0010625473905223563,0.05734880425174809,0.87548942834769,1.439360348549969,0.01096319498825372
45,phenotype_only,2.5365717668292924,2.5336309531096006,0.002940813719692079,-0.01956087423635097,0.030537708825172073,0.87548942834769,1.439360348549969,0.01096319498825372
46,raw_mean44,2.3641767707555332,2.366191310606816,-0.002014539851282909,-0.01224120507294783,0.008017142232587086,0.8909803921568628,1.4924117771957413,0.03607843137254902
46,phenotype_only,2.3641767707555332,2.397008911416778,-0.032832140661244416,-0.063195218794209,-0.004078977358510713,0.8909803921568628,1.4924117771957413,0.03607843137254902
