seed,model,n_test,target_variance,rmse,rmse_over_target_sd,mae,r2,spearman,ccc
42,BBB_pass,1714,0.3744713262714923,0.4582897132455722,0.7489120609123929,0.32514283437344255,0.4391307250199522,0.6507449909824553,0.6057127697719358
42,Plain,1714,0.3744713262714923,0.4551556169977806,0.7437904917124015,0.32570796827370313,0.4467757044382239,0.6506641847759963,0.6257919496569238
42,Baseline,1714,0.3744713262714923,0.4621785309897484,0.7552669548302128,0.3302519874307684,0.4295718269414973,0.6441365315629515,0.6170468517865833
43,BBB_pass,1671,0.3934483701018015,0.4966982456139935,0.7918606293752316,0.34247187675460194,0.37295674364546205,0.6529676958396593,0.5597592653832935
43,Plain,1671,0.3934483701018015,0.47424626721721724,0.7560665876185246,0.3300781725109945,0.42836331508687986,0.6822270384526187,0.6051521290127746
43,Baseline,1671,0.3934483701018015,0.49257021763152,0.7852795253243419,0.34437936093125743,0.38333606710637624,0.6497188470197942,0.5753001963223018
44,BBB_pass,1699,0.36078091083537195,0.4730239243037894,0.787519527466365,0.33326253381454185,0.37981299385915324,0.6247646760440468,0.5539292663516092
44,Plain,1699,0.36078091083537195,0.4597544132020891,0.7654276234936402,0.32563977068738553,0.4141205531928781,0.6528481465247515,0.5949850896280106
44,Baseline,1699,0.36078091083537195,0.4716293473634787,0.7851977493984471,0.33078939544267083,0.3834644943396134,0.627715140657744,0.5676885531358036
45,BBB_pass,1777,0.3588886082085164,0.4811418376189058,0.8031437534685835,0.32940374671469697,0.3549601112643953,0.6311167068609087,0.5364542113926885
45,Plain,1777,0.3588886082085164,0.4698196712161571,0.7842442803587394,0.32144568198566914,0.384960908724603,0.647059410655326,0.5799909613874061
45,Baseline,1777,0.3588886082085164,0.48146422237708375,0.803681892712565,0.33294192151020174,0.35409541532594924,0.6240042163622458,0.5714211250054951
46,BBB_pass,1690,0.3646678419448634,0.47038601179753664,0.7789429748793691,0.3300090732460415,0.3932478418860784,0.6201188172621758,0.5596309917235738
46,Plain,1690,0.3646678419448634,0.4549622625480246,0.7534017793019387,0.31795660838258416,0.4323857589446728,0.6399816483658944,0.6139077888427414
46,Baseline,1690,0.3646678419448634,0.4757682465316579,0.7878557695419366,0.33571116677993285,0.37928328639948294,0.6114410400042931,0.5728210935288678
