seed,minimum_neff,fallback_n,n_test,fallback_fraction,coverage,mean_width,interval_score
42,40,18,2532,0.0071090047393364926,0.8949447077409163,1.5338273117826664,2.3081368441195327
42,80,31,2532,0.012243285939968405,0.8941548183254344,1.528645831199062,2.309559467456994
42,120,54,2532,0.02132701421800948,0.8925750394944708,1.5232761086485658,2.318454998367021
43,40,16,2459,0.0065067100447336315,0.8942659617730785,1.4605882701816002,2.392445465483579
43,80,21,2459,0.00854005693371289,0.8938592923952826,1.4602301437461618,2.3929474001303257
43,120,47,2459,0.01911346075640504,0.8934526230174867,1.459863312061025,2.3965044159499285
44,40,10,2387,0.0041893590280687055,0.9141181399245916,1.6650323101152724,2.3981798766716844
44,80,13,2387,0.005446166736489317,0.9141181399245916,1.664277092124796,2.403649650723001
44,120,38,2387,0.015919564306661083,0.9128613322161709,1.6617223614561603,2.407770960814359
45,40,25,2554,0.009788566953797965,0.875097885669538,1.4298751661615745,2.510910379630388
45,80,35,2554,0.01370399373531715,0.874706342991386,1.4259591620131535,2.5147313114159067
45,120,65,2554,0.025450274079874706,0.8743148003132342,1.4201874620952282,2.5160925452343483
46,40,35,2550,0.013725490196078431,0.8925490196078432,1.5096572512299784,2.370075736343007
46,80,75,2550,0.029411764705882353,0.8917647058823529,1.5019445784495107,2.366191310606816
46,120,127,2550,0.04980392156862745,0.8909803921568628,1.490835948992798,2.3606460079355553
