seed,quadrant,n,n_narrower,fraction,wilson_low,wilson_high,ci_low,ci_high
42,Pheno+ MIE+,786,777,0.9885496183206107,0.9783826212389817,0.9939644129958316,0.9773030286704256,0.9962734075181481
42,Pheno+ MIE-,534,490,0.9176029962546817,0.8911914056197807,0.9380492426893485,0.8815245897382634,0.9462376699546788
42,Pheno- MIE+,464,214,0.46120689655172414,0.41635351855600733,0.5066973369822202,0.4022447746768153,0.5157559371343642
42,Pheno- MIE-,748,186,0.24866310160427807,0.21902419825574942,0.28087036649759983,0.2095532334220817,0.2916140839789811
43,Pheno+ MIE+,760,755,0.993421052631579,0.9846924578376811,0.9971866891229147,0.9835650208683304,1.0
43,Pheno+ MIE-,554,419,0.7563176895306859,0.7188837515305402,0.7902214709468118,0.6992924086223055,0.811596852396471
43,Pheno- MIE+,441,265,0.6009070294784581,0.5545194661526108,0.6455518137050386,0.5443881524572446,0.6561815308988764
43,Pheno- MIE-,704,157,0.22301136363636365,0.19381219898098734,0.25521696547377176,0.17986553039447636,0.26967342587693355
44,Pheno+ MIE+,830,816,0.983132530120482,0.9718873022415985,0.9899262313937675,0.9698492462311558,0.9937971011603334
44,Pheno+ MIE-,425,277,0.6517647058823529,0.605294611171128,0.6955158570022327,0.5810006489475764,0.7161645305204257
44,Pheno- MIE+,442,266,0.6018099547511312,0.5554848565441235,0.6463806232568379,0.5424450401856707,0.6598662283705428
44,Pheno- MIE-,690,81,0.11739130434782609,0.09546532579399147,0.1435539151469733,0.0877615856699846,0.15021475029549894
45,Pheno+ MIE+,830,829,0.9987951807228915,0.9932072328658043,0.9997872881442743,0.9964621597313493,1.0
45,Pheno+ MIE-,537,437,0.813780260707635,0.7786679636919864,0.8444351555378693,0.767525529906462,0.8550330224758766
45,Pheno- MIE+,480,191,0.39791666666666664,0.3551061291088476,0.4423481852881382,0.3385969786421254,0.4560529544720696
45,Pheno- MIE-,707,58,0.08203677510608204,0.06399605659645798,0.10459492432285176,0.056395204379387935,0.11330105839663848
46,Pheno+ MIE+,845,844,0.9988165680473373,0.9933272511942375,0.9997910646467334,0.9961587708066582,1.0
46,Pheno+ MIE-,513,398,0.7758284600389863,0.7377663335082802,0.8097903594972244,0.7075880619517544,0.8359088619958185
46,Pheno- MIE+,470,247,0.5255319148936171,0.48036358946450586,0.5702862630404474,0.4653050483351235,0.5881238194022802
46,Pheno- MIE-,722,98,0.13573407202216067,0.11267047598296846,0.16265336559723692,0.10014090058039778,0.1766295843815072
