seed,bin,n,btox_mean,residual_variance,mse,mean_residual
42,1,219,0.4913508939341101,0.4026381526107461,0.43092774902121694,-0.1681951141099847
42,2,266,1.0099974408782229,0.42579253965172437,0.42583604289661275,-0.006595698968901832
42,3,245,1.2627482050954848,0.3655003101663603,0.3671845512546373,-0.04103950643315576
42,4,223,1.4850595146473085,0.2950955745684262,0.29555012947580117,-0.021320293322912548
42,5,259,1.6817551882498802,0.21027905768339436,0.21133779856024823,0.0325382986164596
42,6,250,1.8703698283413541,0.26719907386471226,0.2673839387329615,0.013596502059322642
42,7,220,2.044196586302219,0.2994049512297504,0.3086808252424018,0.09631133896198997
42,8,263,2.27012012292677,0.1427070028202899,0.14282129747534256,0.01069086783440399
42,9,322,2.5481112034794706,0.12111242825276947,0.1220696510749721,0.03093901779634619
42,10,265,2.8453112402052247,0.17202983342695327,0.1725839183917796,0.023539009427466513
43,1,208,0.5104514113736218,0.39390629169821495,0.3985487841489957,-0.06813583822615497
43,2,241,1.0056259245714791,0.41042015934178255,0.41059348303988236,0.013165245842737629
43,3,233,1.255707425631177,0.2609742671046576,0.2642383529586828,-0.057132178796411914
43,4,235,1.4798785076508834,0.2448707909583742,0.2449385295995725,0.008230348789589283
43,5,228,1.691178789589398,0.28978651933215477,0.28980002902670604,0.003675553638740836
43,6,246,1.882985122234296,0.26710433800234096,0.26810425871370486,0.031621522913419985
43,7,260,2.0554521613468997,0.43484139468101374,0.4379376935015591,0.05564439612885919
43,8,293,2.29308350190978,0.1691650302969359,0.16916574238750212,-0.0008438545883257256
43,9,307,2.57969814170067,0.11399151799404117,0.11471302335370666,0.026860851804540533
43,10,208,2.852052711810057,0.21798164341788098,0.22710865181960765,0.09553537774943205
44,1,199,0.5299557169396919,0.31104866700526457,0.32988518806785366,-0.1372462060043522
44,2,204,1.0188208803880905,0.499979488887556,0.5008233353428505,0.029049035359106752
44,3,245,1.2367702557861413,0.4017287166689872,0.4017819980882647,-0.007299412255619472
44,4,261,1.4683443533424583,0.30286690759137763,0.3028757823495008,0.002979053225972387
44,5,223,1.6851370408547515,0.2121118077915304,0.21211393286643523,0.001457763665611601
44,6,232,1.863559492187628,0.2502360417120122,0.25084452707296634,0.024667496041433427
44,7,220,2.0335248611957137,0.3639911306160481,0.3677673174775279,0.06145068641992327
44,8,282,2.2613121258451585,0.2034159116338482,0.20493421454794367,0.038965406633262006
44,9,269,2.5469196688065296,0.12994493040838903,0.13156506404312085,0.04025088365156495
44,10,252,2.8467644053319145,0.13666885519961464,0.13824600140082108,0.039713300054344924
45,1,241,0.45614745761187797,0.4094494357906122,0.4270232255639456,-0.13256617130072587
45,2,256,1.0236766352288171,0.48408705897444587,0.4877274270452351,-0.06033546279584799
45,3,236,1.2543984014376224,0.4538227941139021,0.4546675005903514,0.02906383451042293
45,4,213,1.4785823299715672,0.3128984168930232,0.3176573323730208,0.0689848931288405
45,5,241,1.6877886426746913,0.20453946234371745,0.204554453497448,-0.0038718411293004323
45,6,251,1.8800718574904127,0.2835955449293997,0.2865072017037219,0.05395976996172461
45,7,260,2.045404387779777,0.34553326384936467,0.366441657780267,0.14459735105077962
45,8,295,2.2926026150331658,0.14436057486001894,0.14533769001598737,0.03125884124481355
45,9,256,2.559637514175847,0.14023460903175883,0.14299880793334482,0.0525756493215826
45,10,305,2.84446172890116,0.16873662446162233,0.16990024438594428,0.03411187365598602
46,1,227,0.45767570818026143,0.2912004456963885,0.31808468328239703,-0.16396413506010532
46,2,254,1.0154698026972468,0.375872937836772,0.37624773443366893,-0.019359664173144983
46,3,256,1.248022553906698,0.2735475268295086,0.29021226880008955,-0.12909199034247226
46,4,238,1.4701380601459468,0.26251142316321874,0.2625405340145882,-0.005395447281694748
46,5,217,1.6695825935476787,0.24615595456009795,0.2504111653115072,0.0652319764487418
46,6,246,1.8622050752970003,0.22726264341545482,0.227262660007724,0.00012881098232541522
46,7,231,2.0306111844188566,0.25574261732373454,0.26170527970610924,0.0772182775149429
46,8,334,2.2669059216619254,0.1811974517197807,0.18237082328847043,0.034254511654521376
46,9,311,2.5521503189560684,0.17303536607984196,0.1732200331268753,-0.013589225402257831
46,10,236,2.856641512806133,0.2753262555541089,0.27546843273500676,-0.01192380731552733
