target,training_mean,training_sd
1m2z,-6.110628078817743,6.118327599143596
1pbq,-6.934667487684708,1.3096022363734667
1xoq,-7.02041871921183,1.7305518417230348
2rh1,-7.5606896551723946,1.9244758782975588
2vt4,-7.407413793103449,1.5262995629524736
2ydo,-6.747832512315271,4.221663603114193
2z5x,-5.3791502463054135,7.351839186604973
3b66,-5.52987684729064,6.236096376291138
3kk6,-6.731330049261073,2.8973240081683582
3ln1,-6.830332512315268,2.9933859582998976
3rze,-6.488805418719197,3.1883673341860432
4djh,-6.839655172413762,1.2744268988462484
4ey7,-7.767068965517252,2.9599218269820753
4iar,-7.174802955665036,1.9788464036534958
4mqs,-1.5272167487684685,11.71193049410863
4n6h,-6.523830049261067,1.3647271369430911
5cxv,-7.233238916256165,2.5524941636044374
5i71,-7.439100985221694,1.6106998844852596
5tvn,-7.099495073891653,1.4329655052157781
5u09,-7.063374384236447,2.7109726759937094
5va1,-4.882118226600978,0.8527096456104081
6cm4,-7.20295566502463,1.5536953036411738
6kpf,-7.16878078817735,3.5911782293696803
6kux,-6.505886699507375,1.1858151057376025
6lqa,-6.7797413793103445,1.4084674206339427
6pdj,-6.5735098522167785,1.2860425400925073
6x3x,-7.546871921182265,1.8841130116685065
6y1z,-7.197647783251231,1.7863964978055116
7f8y,-6.939913793103428,1.6589492319370907
7kwe,-7.3083251231527,1.3998775994027797
7ljd,-6.65142857142858,1.4406580080399065
7wc9,-7.847278325123146,2.2525125503601733
7xnk,-6.207635467980306,1.1429375449465307
7ym8,-6.795812807881778,3.631394947599543
8e9y,-5.636551724137935,5.78481164298907
8ef6,-6.667056650246309,1.318082727149002
8fhs,-6.324876847290665,1.3610564788163468
8pjk,-7.05477832512314,1.5603987191365343
8st0,-3.9135098522167504,7.804353717126348
8wty,-7.508078817734016,1.8480854835149854
8xvk,-5.937733990147799,0.9279962991355042
8yn3,-6.0451231527093485,3.701669954603363
9eo4,-7.211477832512326,2.8063011932862305
V1A,-5.812253694581287,1.1142013617633435
