seed,coordinate,median,ci_low,ci_high,mean_quadrant_change_probability,fraction_change_probability_above_0.1
42,BTox,1.7853519394993782,1.7461654908838682,1.823504314944148,0.018570695102685626,0.06003159557661927
42,mean44,-6.815909090909091,-6.894346590909091,-6.745454545454546,0.018570695102685626,0.06003159557661927
43,BTox,1.7876810505986214,1.7446349931880831,1.8268973864614964,0.017589670597803985,0.05612037413582757
43,mean44,-6.803409090909091,-6.87502840909091,-6.73409090909091,0.017589670597803985,0.05612037413582757
44,BTox,1.775127276778221,1.7385203003883363,1.8139594040811062,0.017467951403435274,0.0540427314620863
44,mean44,-6.788636363636363,-6.845454545454544,-6.720454545454547,0.017467951403435274,0.0540427314620863
45,BTox,1.7850578725337982,1.7433768205344677,1.8199984803795815,0.012576350822239625,0.037588097102584185
45,mean44,-6.786363636363635,-6.838636363636364,-6.729545454545455,0.012576350822239625,0.037588097102584185
46,BTox,1.7707577645778656,1.7372491281479596,1.809106033667922,0.01761843137254902,0.05176470588235294
46,mean44,-6.793181818181818,-6.852272727272726,-6.727272727272728,0.01761843137254902,0.05176470588235294
