seed,model,group,n_features,n_permutations,mean_mse_increase,permutation_sd,ci_low,ci_high
42,Baseline,Fingerprints,2048,5,0.2710115305869654,0.003555942671892861,0.23244405283865635,0.31779553523096155
42,Baseline,PhysChem,2,5,0.12074578956373605,0.002173593145803608,0.10358881859120063,0.13952577826549006
42,Baseline,Proteins,44,5,0.06860106820480254,0.005281075726045494,0.05336964717773612,0.08447986227783638
42,ADME,ADME,68,5,0.31159718040398027,0.008443069115251445,0.27636186992273265,0.3488109175001284
42,ADME,Fingerprints,2048,5,0.03431194433074324,0.003441319487323081,0.02254798569179978,0.04810746485849241
42,ADME,PhysChem,2,5,0.023837407495724508,0.0020403521997391623,0.01751804740158406,0.03049948189143943
42,ADME,Proteins,44,5,0.014331717048922738,0.001935330726591493,0.00760136791388818,0.021218351891695693
43,Baseline,Fingerprints,2048,5,0.2358347784669928,0.008482228408770652,0.2039993810680629,0.2697412192857941
43,Baseline,PhysChem,2,5,0.15208846578541324,0.007359939328261639,0.13371258172511033,0.17136513299063524
43,Baseline,Proteins,44,5,0.046088251812954076,0.0045190315483629815,0.03199891143915159,0.060787976613658964
43,ADME,ADME,68,5,0.29288807596348393,0.010794612110162296,0.255260756142459,0.3344708993383686
43,ADME,Fingerprints,2048,5,0.036416951399300596,0.0012789305696359905,0.027862928427643936,0.045601450150676015
43,ADME,PhysChem,2,5,0.024181897367400302,0.0026080736366921008,0.018184512671515083,0.03013182276225221
43,ADME,Proteins,44,5,0.012128573078931218,0.000807692863175788,0.006885305945114181,0.01749098784159009
44,Baseline,Fingerprints,2048,5,0.2434161905751525,0.009410279906426743,0.204498535091526,0.2868929284440238
44,Baseline,PhysChem,2,5,0.1250220749153081,0.002111936433189528,0.10836131528064746,0.14382811317079966
44,Baseline,Proteins,44,5,0.055485067378293555,0.006305320496199593,0.03772328650496918,0.07539023284706023
44,ADME,ADME,68,5,0.30554108634482696,0.005483950743683408,0.26282413145302536,0.35295926458939325
44,ADME,Fingerprints,2048,5,0.032192499938032616,0.002491084582890341,0.021662256841269628,0.045196733069592626
44,ADME,PhysChem,2,5,0.027477168468644637,0.0017755794221434777,0.021167562879821956,0.034323151662510286
44,ADME,Proteins,44,5,0.022283730573430457,0.0007477493076642331,0.012820846775723977,0.03271810483821035
45,Baseline,Fingerprints,2048,5,0.3208172389966344,0.0088543045257414,0.2422651942073197,0.42568685888894636
45,Baseline,PhysChem,2,5,0.13097886972573938,0.0053287293933100945,0.1095562203239863,0.15278772797661416
45,Baseline,Proteins,44,5,0.07896534885835131,0.006917062888603102,0.05866330270724203,0.10099817070357459
45,ADME,ADME,68,5,0.3586621696710808,0.019048916125167285,0.29854043580964773,0.42629554922351
45,ADME,Fingerprints,2048,5,0.03756491410868021,0.0019228210264293035,0.02545587094904414,0.0523227316500477
45,ADME,PhysChem,2,5,0.04751646883047044,0.001926620311645716,0.03555068477205482,0.060033303298266054
45,ADME,Proteins,44,5,0.017774535429485237,0.0014156306190288616,0.011385654678310505,0.024622760584783927
46,Baseline,Fingerprints,2048,5,0.28541549456890425,0.004574971324922124,0.20079178074533469,0.40597905449887567
46,Baseline,PhysChem,2,5,0.11586967972849381,0.006219146747448152,0.09838349525358286,0.13292475065867976
46,Baseline,Proteins,44,5,0.053779432835949346,0.002075699499896749,0.039218151275345746,0.06832869745836954
46,ADME,ADME,68,5,0.31564848369593046,0.004793061693529788,0.26780708860277724,0.37542699261344303
46,ADME,Fingerprints,2048,5,0.037059257766645114,0.0029438769782807925,0.02345450377334759,0.053469809494381536
46,ADME,PhysChem,2,5,0.021819577578079265,0.0034857648588654607,0.014761323421818497,0.028908841563107142
46,ADME,Proteins,44,5,0.007714137351777923,0.001604760244191182,0.002237359639382098,0.01385232068298353
