seed,comparison,mse_delta,ci_low,ci_high
42,BBB_minus_Plain,0.002862825582078433,-0.007457976087416593,0.015060674442962324
42,BBB_minus_Baseline,-0.0035795332411330564,-0.014451927136935798,0.008135754726503307
43,BBB_minus_Plain,0.021799625226554827,0.010296818269088544,0.033857663475541824
43,BBB_minus_Baseline,0.004083727898456055,-0.006076062700238502,0.014165568287832747
44,BBB_minus_Plain,0.012377512504959868,0.0015415774521788932,0.023069614557922936
44,BBB_minus_Baseline,0.0013173916692562418,-0.009776289524555153,0.012663677178671603
45,BBB_minus_Plain,0.01076694444563953,0.001234010044048884,0.02108567820964134
45,BBB_minus_Baseline,-0.00031032952187245663,-0.012088426567172834,0.013826646099969388
46,BBB_minus_Plain,0.014272339751974658,0.0012029063801990755,0.028111943335777063
46,BBB_minus_Baseline,-0.005092424313016108,-0.016311188772941663,0.006608380624323093
