target,training_mean,training_sd
1m2z,-6.18025587403125,5.28315679622701
1pbq,-6.913457989912649,1.3148904346742645
1xoq,-7.011907983761856,1.360108037865931
2rh1,-7.538012055603393,1.9014207698792551
2vt4,-7.376097921023498,1.5213171702816646
2ydo,-6.775556649034323,3.7000073661153756
2z5x,-5.449440275556632,6.250773060353582
3b66,-5.556685939229913,5.75509550408936
3kk6,-6.742059293886088,2.681520297213829
3ln1,-6.828552097428969,2.9966546127350786
3rze,-6.489924960019675,2.9294061183040423
4djh,-6.804293271005002,1.278060377123494
4ey7,-7.772370525279875,2.797275496878069
4iar,-7.164755812523082,1.7604494465037126
4mqs,-1.6196334112436934,11.303799132671767
4n6h,-6.499630950916448,1.2743810662770592
5cxv,-7.271287981301522,1.9749476158192711
5i71,-7.411895682125736,1.5971627140303932
5tvn,-7.070574486406709,1.4321889328132564
5u09,-7.065826054865271,2.5799501940577363
5va1,-4.865395497601201,0.8536142976236596
6cm4,-7.178632058063738,1.4840289866691303
6kpf,-7.175704268667734,3.293342229051038
6kux,-6.474375691967025,1.1921707349274426
6lqa,-6.742809693689258,1.3971449644686678
6pdj,-6.544654939106942,1.2636631916629553
6x3x,-7.5285890023372986,1.81245251538859
6y1z,-7.185951531553697,1.66494970807969
7f8y,-6.925046131135419,1.5797798401754874
7kwe,-7.286013039734277,1.3986725373901132
7ljd,-6.63027432648545,1.420605591657233
7wc9,-7.827186615819911,2.2038529585587217
7xnk,-6.181768975273724,1.1492742773220672
7ym8,-6.817050067659017,3.40279126884339
8e9y,-5.694882519375084,5.342379568175818
8ef6,-6.639635871570918,1.3148727349212253
8fhs,-6.295903555172859,1.355959567493059
8pjk,-7.034296961495864,1.4841068887114726
8st0,-3.9644113667117846,7.369241116131107
8wty,-7.488005904785364,1.8112522837104201
8xvk,-5.916434985853135,0.9179665578279387
8yn3,-6.060634764423666,3.348603943893863
9eo4,-7.220346906138523,2.397833283584331
V1A,-5.78756304588513,1.110731857022132
