target,training_mean,training_sd
1m2z,-6.149241466498126,5.543204521322359
1pbq,-6.93566371681417,1.3187919837949196
1xoq,-7.028002528445007,1.5702338411998482
2rh1,-7.558571428571432,1.815827793631376
2vt4,-7.39887484197219,1.5058579246615635
2ydo,-6.809178255372939,3.823390544260248
2z5x,-5.539254108723126,6.593832516567426
3b66,-5.614867256637168,5.789596926187007
3kk6,-6.73520859671302,2.7637888852079935
3ln1,-6.867408343868531,2.847556627138318
3rze,-6.529506953223772,2.9894655555978162
4djh,-6.838786346396939,1.28417679136081
4ey7,-7.785094816687744,2.780674973741833
4iar,-7.176017699115078,1.8400324489224642
4mqs,-1.7919342604298294,11.36358137736858
4n6h,-6.526283185840694,1.3557251233459096
5cxv,-7.274462705436154,2.0722805269470657
5i71,-7.436763590391899,1.571700149130062
5tvn,-7.093122629582831,1.4266173810238736
5u09,-7.0871302149178375,2.547702910632356
5va1,-4.87938053097346,0.8547736826916247
6cm4,-7.208773704171928,1.469362250821035
6kpf,-7.205752212389397,3.2443086074885206
6kux,-6.505802781289498,1.1958516398019787
6lqa,-6.772515802781294,1.408375027969827
6pdj,-6.58068268015173,1.272876050680246
6x3x,-7.571580278128943,1.7874259241862573
6y1z,-7.213160556257905,1.7055720383538087
7f8y,-6.931314791403282,1.5854599019380704
7kwe,-7.307029077117568,1.3992651666999585
7ljd,-6.652414664981065,1.3690607335040323
7wc9,-7.866384323640981,2.1780374721978077
7xnk,-6.207218710493052,1.145200384456881
7ym8,-6.828862199747158,3.4188527060274647
8e9y,-5.724601769911501,5.546028436220813
8ef6,-6.6654867256637225,1.3167729524702605
8fhs,-6.317863463969674,1.3581819247250781
8pjk,-7.054108723135255,1.4873593577977609
8st0,-3.982351453855883,7.633267036229665
8wty,-7.509039190897622,1.7843859832658595
8xvk,-5.935170670037934,0.9311898183641134
8yn3,-6.0806068268015245,3.387642917567341
9eo4,-7.22812895069533,2.609163839799313
V1A,-5.79754740834388,1.111662825518005
