run,method,coverage,mean_width,mean_interval_score,score_ci_low,score_ci_high
butina04_seed42,prediction_only,0.8957345971563981,1.5562114125090096,2.3647153458814776,2.2007449005938,2.5356263868180817
butina04_seed42,MW_logP,0.8854660347551343,1.49570438281855,2.379006166690892,2.202638814890237,2.567425898545826
butina04_seed42,permuted_biology_0,0.9048183254344392,1.6525107626044093,2.416648393298826,2.2539899982525924,2.584665607364958
butina04_seed42,permuted_biology_1,0.9071879936808847,1.6527525879072344,2.4318359780644547,2.266811421128073,2.6036267965239492
butina04_seed42,permuted_biology_2,0.9048183254344392,1.6448048427173152,2.418252123879594,2.256126392920314,2.5899411908132746
butina04_seed42,permuted_biology_3,0.9048183254344392,1.6390582105544427,2.419888751564647,2.2558765494571285,2.594257399832305
butina04_seed42,permuted_biology_4,0.910347551342812,1.681340755206794,2.428273046824727,2.2689777772687063,2.5974665595999715
butina04_seed43,prediction_only,0.8836925579503864,1.4916670055344166,2.466757324961805,2.2490883339986896,2.7004098079700194
butina04_seed43,MW_logP,0.8828792191947946,1.456330205099863,2.437065359129009,2.2136770272655375,2.680291172507223
butina04_seed43,permuted_biology_0,0.8853192354615698,1.5211997905964452,2.4744535367599263,2.2565178187064325,2.7092003070923716
butina04_seed43,permuted_biology_1,0.8869459129727532,1.531701956887647,2.4828969133160843,2.262337049625425,2.720154221830625
butina04_seed43,permuted_biology_2,0.8910126067507117,1.5562157531104213,2.483359794231899,2.2656085257506158,2.716746069437856
butina04_seed43,permuted_biology_3,0.8889792598617324,1.5183130432622645,2.4752022193605616,2.254958755640465,2.7123502312191197
butina04_seed43,permuted_biology_4,0.8877592517283448,1.5252366231072796,2.480342352534693,2.2594832294519396,2.7188438660457113
butina04_seed44,prediction_only,0.9107666527021365,1.6860614259768687,2.4795194351370893,2.2905662262071513,2.6741610349351537
butina04_seed44,MW_logP,0.9007121910347716,1.603077238170834,2.449465263687981,2.2426060198248345,2.6632741878122896
butina04_seed44,permuted_biology_0,0.9166317553414327,1.7508124450595894,2.5272324622052893,2.332552816822781,2.7299237179442852
butina04_seed44,permuted_biology_1,0.9128613322161709,1.729023086714012,2.524246149152399,2.328192745258001,2.724633013869245
butina04_seed44,permuted_biology_2,0.9166317553414327,1.76638346387028,2.5288741779180244,2.3365997848998514,2.7280538892123176
butina04_seed44,permuted_biology_3,0.9141181399245916,1.7479232335206625,2.5191870229228215,2.326240896888428,2.7168102115597463
butina04_seed44,permuted_biology_4,0.9166317553414327,1.7524469361128823,2.5248684951239273,2.331947332477743,2.7273197293954192
butina04_seed45,prediction_only,0.8872357086922474,1.4831337746561661,2.54588551717887,2.285893019197756,2.8635916129462458
butina04_seed45,MW_logP,0.884494909945184,1.4514397779683592,2.4888591375935385,2.254801806554964,2.751592028322017
butina04_seed45,permuted_biology_0,0.8868441660140955,1.507158323706907,2.5678286559576886,2.30758865239436,2.880830997805347
butina04_seed45,permuted_biology_1,0.8884103367267032,1.498547524227263,2.565612884506775,2.3015373237156336,2.8808704974804367
butina04_seed45,permuted_biology_2,0.889193422083007,1.495842965959444,2.5631015080880584,2.3013308376638975,2.877322131936372
butina04_seed45,permuted_biology_3,0.8907595927956147,1.5250402825158407,2.5603552796342104,2.302499457766154,2.875831327906009
butina04_seed45,permuted_biology_4,0.8919342208300705,1.5207242777204049,2.5615244181419263,2.301567698190585,2.877879021346286
butina04_seed46,prediction_only,0.8945098039215686,1.5206859288687042,2.3788077642673633,2.169847851952985,2.6178374150234744
butina04_seed46,MW_logP,0.8917647058823529,1.5110077541517657,2.3918971954583457,2.1714916955285446,2.644610701918074
butina04_seed46,permuted_biology_0,0.8960784313725491,1.5590886247142475,2.4146002484218165,2.20078489228579,2.656925130026267
butina04_seed46,permuted_biology_1,0.8992156862745098,1.5919928674505426,2.427965063050578,2.2196075460675453,2.666223196502441
butina04_seed46,permuted_biology_2,0.8941176470588236,1.563644915652663,2.4212101037952367,2.2076680115733764,2.6626058400319055
butina04_seed46,permuted_biology_3,0.8988235294117647,1.5857531218257397,2.4204793766013215,2.210016209793536,2.6607042779201646
butina04_seed46,permuted_biology_4,0.8952941176470588,1.5725311833078026,2.416801468458739,2.2070618553909553,2.6582861355003176
