method,coverage,coverage_ci_low,coverage_ci_high,mean_width,width_ci_low,width_ci_high,median_width,width_p10,width_p90,mean_interval_score,interval_score_ci_low,interval_score_ci_high,fallback_fraction
global,0.9210977701543739,0.9062363883737888,0.9352918055105859,1.7983901300045635,1.7983901300045235,1.7983901300045468,1.798390130004563,1.798390130004563,1.798390130004563,2.5575394134935965,2.370727929840514,2.7550196823754787,0.0
joint,0.9155231560891939,0.9002938651746805,0.9299414458103852,1.6739825961267625,1.652653138268255,1.6962167593999573,1.660891099996567,1.3854184500542246,1.9844711140491424,2.433851357231274,2.2371411868332665,2.637612627631781,0.006432246998284734
pheno,0.9198113207547169,0.9045235633264398,0.9340991403105745,1.7290595713428798,1.7037766349998404,1.7543631322520306,1.7725327662048258,1.4090599801375863,2.0015042954088704,2.460850121354924,2.260946646032721,2.6632962110747793,0.0
mie,0.9138078902229846,0.8986359078712279,0.9280197473705107,1.693421324510389,1.6852589134799625,1.7020944805203901,1.6638494295891393,1.5770486398367547,1.8462794896125665,2.4624303753366887,2.2762162011619145,2.6568083071839386,0.0038593481989708405
