quadrant,n,clusters,joint_width,pheno_width,mie_width,coverage,coverage_ci_low,coverage_ci_high,interval_lt_global_n
Pheno+ MIE+,830,446,1.4594775912803977,1.5045898396189912,1.6017653790933915,0.9578313253012049,0.9364067719851316,0.975806695401178,816
Pheno+ MIE-,425,287,1.6244820479281492,1.599965626505459,1.7445478199888176,0.8611764705882353,0.8088519970595442,0.9055700882047735,277
Pheno- MIE+,442,339,1.7235158054583795,1.8735775377144186,1.608564480144063,0.920814479638009,0.8914549653579676,0.9474913261948914,266
Pheno- MIE-,690,488,1.8971944373291172,1.9531737417081272,1.767841046636271,0.8898550724637682,0.8596704554737885,0.9156630961716689,81
