marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.37623898775916437,0.005625989525087016,0.37929251505461503,0.022409437101221775,1.0,True
hERG-10um,0.3610251959414307,0.007140630742742454,0.36188171215872816,0.02864789513960935,1.0,False
Respiratory,0.3491500201921662,0.013166857056635681,0.3333677333951424,0.051478313344562855,1.0,True
Neurotoxicity-DI,0.2928668432686027,0.009493674604569366,0.2964468451722119,0.03798200573986865,1.0,True
Acute_Aquatic_Toxicity,0.048061683257517064,0.009537370498670763,0.03502257588944388,0.03694777504534564,1.0,False
NonGenotoxic_Carcinogenicity,0.0329347373188928,0.014041637596886904,0.030770704390582663,0.05165139793403312,0.9666666666666667,False
SkinSen,0.027481589631092658,0.012757052961534104,0.014004683496822604,0.04971558972322277,1.0,False
Nephrotoxicity-DI,0.019613542478466434,0.012433287486635497,0.021555247983864604,0.050267475730323176,0.9333333333333333,False
Skin_Sensitization,0.0022196953945972904,0.012517573775661307,0.003945784814339816,0.04797666077124929,0.6333333333333333,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.023543117069215132,0.010326667059283796,-0.028696478032547698,0.04050173955198876,0.06666666666666667,False
Ames,-0.025015870232429616,0.012065714834590095,-0.032701167711318424,0.048076430877915535,0.0,False
H-HT,-0.03996923598994059,0.01299187175737548,-0.0528077781232621,0.05151785937488932,0.0,False
Genotoxicity,-0.04869268239250464,0.010274885006145216,-0.04879553087862789,0.04172703340533285,0.0,False
Carcinogenicity,-0.0721990521828598,0.009091784373146587,-0.07307567827742743,0.03676653765040708,0.0,False
EC,-0.08575545535122023,0.0148119380041137,-0.09512428091990156,0.058636747287240186,0.0,False
Ototoxicity,-0.08735199282296399,0.01248952177645849,-0.08695520029377751,0.04945473929181869,0.0,False
Hematotoxicity,-0.12581683161029839,0.011348754346351204,-0.13829634848057418,0.04451614833638264,0.0,False
EI,-0.19106107341066592,0.014014064444964789,-0.20101056663674902,0.055305466042708216,0.0,False
DILI,-0.20143664799692654,0.012679556070523599,-0.20528615251159776,0.05034882141322292,0.0,False
