run,rmse,mae,r2,spearman,calibration,test,train,global_coverage,global_width,global_score,joint_coverage,joint_width,joint_score
butina04_seed42,0.5177212554212635,0.36715685568215867,0.444329900226345,0.6585538092303329,2081,2464,7648,0.91112012987013,1.687228675721835,2.4147999149436488,0.8920454545454546,1.5270999029766144,2.2905245546798496
butina04_seed43,0.5219163564584186,0.36172749865263004,0.4305145588783983,0.6684000364947282,1957,2392,7844,0.8892140468227425,1.532488757577709,2.4500123486316645,0.8908862876254181,1.4634567584763,2.3637489164514864
butina04_seed44,0.5296662616220361,0.3637286556203381,0.43097623143938335,0.6527528049508301,2112,2332,7749,0.921097770154374,1.7983901300045635,2.5575394134935965,0.915523156089194,1.6739825961267625,2.433851357231274
butina04_seed45,0.5463635701313554,0.36886241402312975,0.45238797350245663,0.6817391522219447,1953,2500,7740,0.8916,1.5451327131411177,2.5691059177440176,0.8764,1.4569458983101105,2.5170802442709985
butina04_seed46,0.5097779841826034,0.35542541803818695,0.4604015454977788,0.6577789577116923,1849,2494,7850,0.9001603849238171,1.598562299408671,2.4201091436486584,0.8929430633520449,1.501962837721013,2.3630943285001496
