quadrant,n,clusters,joint_width,pheno_width,mie_width,coverage,coverage_ci_low,coverage_ci_high,interval_lt_global_n
Pheno+ MIE+,834,554,1.2411607677818843,1.3076350750679595,1.4662730812824127,0.9136690647482014,0.8890141297366732,0.9355992502444238,785
Pheno+ MIE-,522,369,1.4490899058308218,1.4210133170614732,1.5867103635630542,0.9099616858237548,0.8807670454545454,0.9355481852359123,331
Pheno- MIE+,515,431,1.5672508475179354,1.6779505237183592,1.4738073418636481,0.8699029126213592,0.8356385511968918,0.90081328320802,276
Pheno- MIE-,736,580,1.7405674138420357,1.7542227050388086,1.612350502056468,0.907608695652174,0.8818640695618,0.9309018141785739,143
