method,coverage,coverage_ci_low,coverage_ci_high,mean_width,width_ci_low,width_ci_high,median_width,width_p10,width_p90,mean_interval_score,interval_score_ci_low,interval_score_ci_high,fallback_fraction
global,0.8984189723320158,0.8860568768144613,0.9106367840751807,1.5282488352089167,1.5282488352089516,1.5282488352089583,1.5282488352089167,1.5282488352089167,1.5282488352089167,2.323441151849896,2.1735468702855054,2.48514038411339,0.0
joint,0.899604743083004,0.8875547446624101,0.9118216687367321,1.4625435958451252,1.4522225605615044,1.4740980514909985,1.5089061602912945,1.0950570875219707,1.751203690443968,2.2440278671400122,2.0967621176765396,2.401590999261045,0.011462450592885375
pheno,0.9039525691699605,0.8920412451244151,0.915656292072764,1.5033236644258765,1.4930359250602887,1.5143576038748403,1.5626798981951318,1.145428979816102,1.7536295387546001,2.261984607411112,2.1136835482399023,2.4167283931437327,0.0015810276679841897
mie,0.8956521739130435,0.8831860581190228,0.9079778830963665,1.4870105512791727,1.4822022317225165,1.4922242469741553,1.4330647286705007,1.4085161279826481,1.6069372472537413,2.305595195744631,2.1549411293456155,2.46828244955424,0.0
