seed,model,n_train,n_calibration,n_test,trees,rmse,mae,r2,spearman,rmse_ci_low,rmse_ci_high,coverage_0.8,width_0.8,coverage_0.9,width_0.9,coverage_0.95,width_0.95,interval_score_90,mse,ccc
42,Baseline,7910,2142,2532,578,0.5169578564861692,0.368043350136346,0.4616553941405105,0.6734853773632361,0.4861120223444133,0.5480662121920462,0.815955766192733,1.171382900869883,0.9170616113744076,1.7350924145284994,0.9589257503949448,2.278012930106686,2.4153669049427338,0.2672454253827747,0.641719171933222
42,PCA,7910,2142,2532,416,0.519616903036752,0.3680472694036985,0.4561030464248183,0.6712514564853067,0.4885681389791523,0.5494865394931711,0.8037124802527646,1.1422701294254494,0.9040284360189572,1.6623856101235115,0.957345971563981,2.3223497616164757,2.443314449968893,0.2700017259215053,0.6335049645022919
42,ADME,7910,2142,2532,339,0.4871735717388326,0.3416684850820611,0.5219013392069829,0.7123138867173934,0.4551720129477554,0.5168788948990685,0.8171406003159558,1.0889967347842813,0.90955766192733,1.5760963467082956,0.9593206951026856,2.1917077407214425,2.2960685220891204,0.23733808900077144,0.6838240931550382
42,Plain,7910,2142,2532,702,0.5027954797370284,0.3577422258117608,0.4907479156565518,0.6853213721419615,0.4728767862426592,0.532595371596415,0.8025276461295419,1.1042717850720818,0.915086887835703,1.6643842711887888,0.9616903633491312,2.2865588723430816,2.3460359340712937,0.25280329444398847,0.6568307812308104
42,BBB pass,5405,1440,1714,396,0.4582897132455722,0.3251428343734425,0.4391307250199522,0.6507449909824553,0.4230916547033118,0.4954030062601455,0.8022170361726955,1.0096234277530929,0.8955659276546091,1.428499526978385,0.9539089848308052,1.895023169897741,2.1133373349307547,0.2100294612667088,0.6057127697719358
43,Baseline,8120,2005,2459,560,0.527778961047278,0.3679308012198145,0.4367154648265061,0.6643818434175924,0.4910433679829799,0.5666670089644171,0.793818625457503,1.0955577732590571,0.8877592517283448,1.548318474065776,0.9495729971533144,2.0669792287748567,2.4612019627614603,0.2785506317241442,0.6245126487613266
43,PCA,8120,2005,2459,695,0.5171212579267406,0.359832214045815,0.4592351398412424,0.6823004380840432,0.4812420242607106,0.5551263848613865,0.7999186661244408,1.090622868347264,0.8938592923952826,1.544809314592201,0.9495729971533144,2.072310343496123,2.40304536503661,0.2674143953997346,0.6420750735128316
43,ADME,8120,2005,2459,347,0.4946837709908673,0.3459977687436815,0.5051438115029041,0.7041346005644553,0.4611393990839374,0.5298515180470027,0.802358682391216,1.0237162608198451,0.8999593330622204,1.470528620460712,0.9524196827978854,1.9999004005197127,2.315103654372875,0.2447120332817449,0.6640436119614276
43,Plain,8120,2005,2459,635,0.5124253886632597,0.3556526411012394,0.4690116916466991,0.6902937242923258,0.4752838064623497,0.5508953999342207,0.7877185847905652,1.050068804597155,0.893045953639691,1.52468147153286,0.953233021553477,2.064054646969362,2.376736338020879,0.26257977894669277,0.6386360887404204
43,BBB pass,5526,1362,1671,590,0.4966982456139935,0.3424718767546019,0.372956743645462,0.6529676958396593,0.4556957205586006,0.5405302291712538,0.7869539198084979,0.9771083566496994,0.883901855176541,1.3757189291745284,0.9395571514063435,1.8803599402398297,2.3444995964478386,0.24670914719601902,0.5597592653832935
