marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.3540528284020687,0.009837134925500935,0.3523856293432745,0.038718781924818486,1.0,True
hERG-10um,0.32371951829424916,0.009490396540036665,0.32594646411719175,0.037311859848597126,1.0,False
Respiratory,0.3063142035159421,0.01024577991767615,0.2965868479368544,0.04290844073712153,1.0,True
Neurotoxicity-DI,0.26294226575872154,0.011165383324884565,0.25878066381080356,0.04450928984601574,1.0,True
NonGenotoxic_Carcinogenicity,0.03132839829453616,0.011610736317581334,0.03646396389500586,0.04073830454217762,1.0,False
Nephrotoxicity-DI,0.02494834265579416,0.008718119071454016,0.02254520794016187,0.034130006035004656,1.0,False
SkinSen,0.020174266593460076,0.011175867768664997,0.017435991253902394,0.04465641234307373,0.9333333333333333,False
Acute_Aquatic_Toxicity,-0.0010852556001336587,0.01079882667548748,-0.006429300774052345,0.04212487204180609,0.5333333333333333,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.009984274464637174,0.008785460273683673,-0.008281019951233811,0.035662300112850466,0.2,False
Skin_Sensitization,-0.01955935476088389,0.01186087955824373,-0.01848823202800519,0.04635067461917749,0.03333333333333333,False
Genotoxicity,-0.021343264775630214,0.0074656189425124425,-0.016661042049814296,0.02925909049007228,0.0,False
H-HT,-0.025395391906021313,0.010152329917578811,-0.0212035773095568,0.03903304413845272,0.0,False
Ames,-0.03681910569077383,0.010676682477332586,-0.03072295275427118,0.04346827693972339,0.0,False
Ototoxicity,-0.06648801511340847,0.008798097493602476,-0.06440006408278624,0.03564284271411489,0.0,False
Carcinogenicity,-0.09011992105939563,0.00947817795782573,-0.09169296812116433,0.03929411120013447,0.0,False
EC,-0.10923336727588974,0.009919512658768094,-0.11468432808762422,0.040559370161949,0.0,False
Hematotoxicity,-0.12356866056473491,0.010607566924838092,-0.11954023214182294,0.042773321628679216,0.0,False
DILI,-0.17298606060270366,0.0108925487604624,-0.1688140708591443,0.042909827285976254,0.0,False
EI,-0.17781902714819153,0.011370500588329559,-0.18555327658044607,0.04519061240743517,0.0,False
