method,coverage,coverage_ci_low,coverage_ci_high,mean_width,width_ci_low,width_ci_high,median_width,width_p10,width_p90,mean_interval_score,interval_score_ci_low,interval_score_ci_high,fallback_fraction
global,0.8964974419519874,0.8796007796523517,0.9112875993004077,1.6772518828848464,1.677251882884818,1.6772518828848229,1.677251882884847,1.677251882884847,1.677251882884847,2.698279019292864,2.44569776309827,3.005691609152596,0.0
joint,0.8902007083825265,0.8730121658736606,0.9052299337000987,1.5961339749133425,1.5747630059329314,1.6170944635862807,1.617148841522761,1.2870254999069841,1.8939018672212908,2.64332730049504,2.3907485718237047,2.9541688695232553,0.015741833923652106
pheno,0.8937426210153483,0.8763274799082873,0.9090237679587048,1.6244347325438386,1.6021714428461498,1.6475318820155886,1.6569296658903054,1.336223561013954,1.9420689876003703,2.6526894732563693,2.402381143296647,2.9629717026941567,0.0011806375442739079
mie,0.8957103502558048,0.8793094350882811,0.911052008046498,1.6334240771695419,1.625343533757048,1.6411959667905882,1.632041322061215,1.478711619723172,1.772623844941636,2.6778499989712743,2.4204227981658426,2.985120078279273,0.0003935458480913026
