marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.36775936939192166,0.012012098879806483,0.36978479351482113,0.04571533078758473,1.0,True
hERG-10um,0.34551875219008793,0.011407888708107952,0.34464401745456297,0.04308525657708122,1.0,False
Respiratory,0.3436556826470827,0.012460650130667321,0.3429767792131381,0.04931133087365195,1.0,True
Neurotoxicity-DI,0.2826810620779772,0.015203764606323717,0.28425090164938116,0.06004954844819778,1.0,True
Acute_Aquatic_Toxicity,0.04137169613966449,0.011275129934123135,0.03580490357386257,0.04505831497961163,1.0,False
NonGenotoxic_Carcinogenicity,0.03441456731078559,0.010986664609832832,0.025177981250595362,0.04111974544438573,1.0,False
Nephrotoxicity-DI,0.017720935389380525,0.01196341943654827,0.04052398949117925,0.04549195922826806,0.9333333333333333,False
SkinSen,0.006765643302121956,0.015548404877862632,0.03026239592597549,0.06341609313480764,0.6666666666666666,False
Skin_Sensitization,-0.0062274769739288065,0.015296945920247083,0.0023095562771415176,0.05885038254580929,0.3333333333333333,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.010550715301635503,0.010911868424425514,-0.014344773998302382,0.04175865824483313,0.13333333333333333,False
Genotoxicity,-0.013133942595862553,0.012790813786900588,0.0063387414709563505,0.0519182432828221,0.1,False
H-HT,-0.0316728205567668,0.014467398936614768,-0.05776123403733955,0.05782459700186925,0.0,False
Ames,-0.0373304985878614,0.014451563391465977,-0.0555785827085075,0.057664055348726574,0.0,False
Ototoxicity,-0.08902184762749575,0.014455987009882813,-0.09464627092950101,0.054949220223972035,0.0,False
EC,-0.09740653917840783,0.01425804120542926,-0.09601365736410623,0.056967044222926914,0.0,False
Hematotoxicity,-0.11497896587866081,0.014440687692185364,-0.13953248695019937,0.05587365500173001,0.0,False
Carcinogenicity,-0.1162029722619818,0.010291774841432509,-0.1266229924342892,0.043194844581153115,0.0,False
EI,-0.19182462521010654,0.015110470087459377,-0.1840118438773415,0.059803516908062876,0.0,False
DILI,-0.208662127326479,0.017246115953491556,-0.21625832343306775,0.06750700588500874,0.0,False
