quadrant,n,clusters,joint_width,pheno_width,mie_width,coverage,coverage_ci_low,coverage_ci_high,interval_lt_global_n
Pheno+ MIE+,800,635,1.2591282709569056,1.3447526997621901,1.4300246809570134,0.93,0.9102714824287385,0.949177299687733,799
Pheno+ MIE-,509,412,1.466763285405272,1.4257502419635932,1.545368226377487,0.8899803536345776,0.8591188288661692,0.9181308289310637,360
Pheno- MIE+,557,484,1.5220077912551182,1.5975692234967058,1.4295980668663117,0.8833034111310593,0.8548036538756041,0.91075086934923,342
Pheno- MIE-,712,642,1.610016754356005,1.6343807970644304,1.580330453613828,0.8806179775280899,0.8553314925944842,0.9035482289314156,259
