quadrant,n,clusters,joint_width,pheno_width,mie_width,coverage,coverage_ci_low,coverage_ci_high,interval_lt_global_n
Pheno+ MIE+,745,584,1.2219410314004653,1.2890571392816452,1.4061792805222368,0.9248322147651007,0.9045681963209083,0.9433968470705064,735
Pheno+ MIE-,470,390,1.410508567292465,1.3707645592800635,1.5282735883867677,0.8872340425531915,0.858378721859114,0.9137632200657968,320
Pheno- MIE+,456,404,1.5121919020503085,1.5907051929176987,1.4114789251224855,0.8991228070175439,0.8719590411747768,0.9256798511995141,277
Pheno- MIE-,716,638,1.655278916954585,1.6578301751786504,1.5604617066561266,0.8910614525139665,0.8673320336470645,0.9143269128846562,112
