subset,n,rmse_remove,rmse_full,mean_rmse_random_removal,rmse_remove_minus_full,full_difference_ci_low,full_difference_ci_high,rmse_remove_minus_random,random_difference_ci_low,random_difference_ci_high
all_test,2521,0.5225155873196622,0.4973743723667534,0.5018863429528156,0.025141214952908775,0.012618698985021971,0.03743828882188907,0.020629244366846544,0.009702671034505905,0.031527318868778985
test_clusters_represented_in_original_training,1055,0.5160836182148687,0.45844080664656933,0.46517450500317353,0.05764281156829937,0.029405600376466157,0.08487481391035422,0.05090911321169517,0.02796450125370438,0.0739196889318423
