arm,n_train,rmse,mae
all_training,8048,0.49737437236675347,0.347557202676611
remove_test_cluster_members,5980,0.5225155873196627,0.3658908863976888
random_size_matched_seed42,5980,0.5031346466855411,0.351363752590494
random_size_matched_seed43,5980,0.5018549638280245,0.35213552602106823
random_size_matched_seed44,5980,0.502257510297213,0.35035245527022807
random_size_matched_seed45,5980,0.5006817793474441,0.34836672214536646
random_size_matched_seed46,5980,0.5015028146058546,0.35060156779818097
