quadrant,n,clusters,joint_width,pheno_width,mie_width,coverage,coverage_ci_low,coverage_ci_high,interval_lt_global_n
Pheno+ MIE+,751,623,1.2098448167032603,1.303313226223451,1.4171710604481915,0.9094540612516645,0.8869442223697287,0.9313997467869606,738
Pheno+ MIE-,524,444,1.4230198714396745,1.3821624583452565,1.538077360465186,0.898854961832061,0.8732653537092839,0.9236538973131152,351
Pheno- MIE+,545,494,1.5906048459126314,1.651713192554071,1.4183093295235727,0.8972477064220183,0.8716933698745652,0.922365988909427,187
Pheno- MIE-,711,654,1.6610614167281414,1.6904886772539067,1.5757248788321654,0.890295358649789,0.8647878665435234,0.9129845048944857,57
