method,coverage,coverage_ci_low,coverage_ci_high,mean_width,width_ci_low,width_ci_high,median_width,width_p10,width_p90,mean_interval_score,interval_score_ci_low,interval_score_ci_high,fallback_fraction
global,0.8892140468227425,0.871234195259841,0.9060105635227018,1.532488757577709,1.5324887575776742,1.5324887575776822,1.5324887575777089,1.5324887575777089,1.5324887575777089,2.4500123486316645,2.2461455314054977,2.6902902260322294,0.0
joint,0.8908862876254181,0.8737596973957851,0.9060196203318213,1.4634567584763,1.4441820636663418,1.4842825122727865,1.4833874943635266,1.1418202339574917,1.7440432734184759,2.3637489164514864,2.15320230602596,2.604352267420802,0.0112876254180602
pheno,0.8938127090301003,0.8767372487307877,0.908838212033743,1.4931316787986755,1.4717683531708505,1.51596429383612,1.526563143536272,1.1698391057934074,1.7780476186774834,2.3885338525186044,2.1776400425514746,2.6449082955482783,0.0016722408026755853
mie,0.8896321070234113,0.8715217520503982,0.9063761097659403,1.5011574797191298,1.4960089571479869,1.5072088625067734,1.4863067979919196,1.423576452641222,1.5957291348300071,2.424001266749671,2.2134469888492556,2.6568210733150184,0.006688963210702341
