quadrant,n,clusters,joint_width,pheno_width,mie_width,coverage,coverage_ci_low,coverage_ci_high,interval_lt_global_n
Pheno+ MIE+,732,403,1.2729743371041276,1.3300024040388647,1.4397862638838466,0.9030054644808743,0.8755416746581114,0.9288699071249406,698
Pheno+ MIE-,546,287,1.410028175757964,1.374713150977503,1.5419509385693573,0.8809523809523809,0.8397661152420671,0.9176256751142501,381
Pheno- MIE+,431,323,1.5388835994442576,1.625548111198117,1.446446955312365,0.877030162412993,0.8422328689207758,0.9088672828138668,224
Pheno- MIE-,683,502,1.6627190866629062,1.6790696919031876,1.5688452359102265,0.8945827232796486,0.8699418933667489,0.919264464625094,98
