seed,model,method,coverage,mean_width,mean_interval_score,coverage_ci_low,coverage_ci_high
42,Plain,global,0.915086887835703,1.664384271188789,2.3460359340712937,0.9008389028726206,0.9283512900540072
42,Plain,joint,0.8981042654028436,1.4976380593300345,2.240520818394976,0.8832284332137521,0.9119861070747292
42,ADME,global,0.9095576619273301,1.5760963467082956,2.2960685220891204,0.8947129148526194,0.9239120082304679
42,ADME,joint,0.8961295418641391,1.4489103355671116,2.1858719808119638,0.8797311195277039,0.9110945653504694
43,Plain,global,0.893045953639691,1.52468147153286,2.376736338020879,0.8761690645604634,0.9084254841425765
43,Plain,joint,0.8849125660837739,1.4362448143444433,2.3015740554072446,0.868375474140166,0.8998769036327474
43,ADME,global,0.8999593330622204,1.470528620460712,2.315103654372875,0.8823772948669915,0.9159101963211885
43,ADME,joint,0.8975193167954453,1.385374255990727,2.2384942521827385,0.8818468023856321,0.9129977236120095
44,Plain,global,0.9145370758273984,1.6743002711601354,2.468184495888648,0.8994082324049961,0.9289407384740922
44,Plain,joint,0.9145370758273984,1.6068429315186865,2.3713927761628506,0.899740706807447,0.9296257218006468
44,ADME,global,0.9195643066610808,1.642344024364782,2.355667049164324,0.9037355286383834,0.9347309297933778
44,ADME,joint,0.909509844993716,1.5310555982491185,2.262411529799426,0.8935178924647685,0.9253304810394578
45,Plain,global,0.8852779953014879,1.446448760737112,2.55389026116202,0.8660393804809416,0.9026219653539774
45,Plain,joint,0.8766640563821456,1.3951882469855874,2.502780426190965,0.856978661002044,0.894606652809842
45,ADME,global,0.9021143304620204,1.4516328092690032,2.3701426854321044,0.8845329952521176,0.9176281968828554
45,ADME,joint,0.8864526233359437,1.383554941474712,2.3208500995275116,0.8665157225876552,0.9032550037861535
46,Plain,global,0.9054901960784314,1.525581914303583,2.356529199524062,0.8862539188102894,0.9226302027529044
46,Plain,joint,0.8929411764705882,1.4365084179204648,2.3184910608407225,0.8740091781393409,0.9110315663775367
46,ADME,global,0.9003921568627451,1.4831576783617235,2.335492289831946,0.879763212707329,0.9179852875571971
46,ADME,joint,0.8913725490196078,1.3891514585762998,2.2779972601162424,0.8708484946935239,0.9097054235002936
