seed,model,n_train,n_calibration,n_test,trees,rmse,mae,r2,spearman,rmse_ci_low,rmse_ci_high,coverage_0.8,width_0.8,coverage_0.9,width_0.9,coverage_0.95,width_0.95,interval_score_90
42,ADME,7648,2081,2464,357,0.4838232754752074,0.34015911068507976,0.5147131182067515,0.7084605891839098,0.45309456243941126,0.5145589926860907,0.8011363636363636,1.0237587341311736,0.9042207792207793,1.5222184165565888,0.961038961038961,2.1553469846600146,2.2685389076132187
42,Plain,7648,2081,2464,694,0.5097334570071924,0.36180215519892234,0.46134422904140293,0.6696319418225269,0.478818945900568,0.539702739830053,0.7922077922077922,1.08131377096357,0.9176136363636364,1.6873436521820144,0.9618506493506493,2.328639397790998,2.391675866985685
43,ADME,7844,1957,2392,350,0.49371249354717545,0.34359592649093346,0.4904004387520232,0.6988852313753686,0.45899369179617067,0.5320820958401308,0.8076923076923077,1.0522592011076206,0.9059364548494984,1.4884262646401165,0.9535953177257525,2.0434054635337944,2.3027893901192087
43,Plain,7844,1957,2392,700,0.5125574645774863,0.3538401052897562,0.45075522241160815,0.6811453630444836,0.47463993375949387,0.5515200922605829,0.7955685618729097,1.0530390486962968,0.907608695652174,1.5986784441874224,0.9506688963210702,2.1269810545547676,2.4065567761136473
44,ADME,7749,2112,2332,299,0.492394230122403,0.3430276957897331,0.5082417016761173,0.6943929690886147,0.457933910972925,0.5264137678888263,0.8267581475128645,1.1040244675359823,0.9189536878216124,1.6552903704171058,0.9588336192109777,2.300570671633581,2.3692113090386018
44,Plain,7749,2112,2332,521,0.5185165012520153,0.358493644690428,0.45468059688964957,0.6664309598303102,0.4830824978374887,0.5522102304972827,0.8228987993138936,1.1614202906958457,0.9172384219554031,1.7301302804651737,0.9635506003430532,2.4536292044985233,2.4981742268400735
45,ADME,7740,1953,2500,331,0.5101973319598029,0.34216061036369044,0.5224862568655426,0.7230984973023211,0.4701866705447854,0.5560286338074062,0.7912,0.9890001814564506,0.9004,1.4709791548948887,0.9572,2.0753312446194014,2.41855124016213
45,Plain,7740,1953,2500,708,0.5425907506085851,0.3623725412733017,0.45992474246259707,0.6904028959126914,0.4940374109957087,0.5943017865301533,0.7948,1.0611505705350908,0.8984,1.530003790217573,0.9572,2.218999652484408,2.5571470868131136
46,ADME,7850,1849,2494,361,0.48409076333554807,0.33830933666610136,0.5134111665668407,0.7041558951882123,0.44870237739648416,0.5228924833485644,0.8103448275862069,1.041425086569391,0.8957497995188453,1.458267188695872,0.9446672012830793,1.9097707847190648,2.292565647882234
46,Plain,7850,1849,2494,676,0.5004357074558222,0.34672886320774243,0.47999786553360935,0.6679390103333236,0.4657448693699127,0.5402165209730466,0.8111467522052928,1.093464852205006,0.8985565356856455,1.5564213523087624,0.9486768243785084,2.057331446743458,2.3753515694403595
