marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.353694087784425,0.009105037051112234,0.34699653390138707,0.035496699665897614,1.0,True
Respiratory,0.34697188219769354,0.00785467022362057,0.3398034851988455,0.031153016418865177,1.0,True
hERG-10um,0.3393388765554601,0.008743700552942338,0.3380020790212563,0.034644034550094994,1.0,False
Neurotoxicity-DI,0.2686695455053191,0.010980512339687162,0.23807681484784454,0.044445294589003814,1.0,True
Acute_Aquatic_Toxicity,0.039904085028992724,0.009524104984429457,0.03366282159395116,0.037896760721733695,1.0,False
Nephrotoxicity-DI,0.014786118453905813,0.011589976823974158,0.019711137317537174,0.04687846653388569,0.9,False
NonGenotoxic_Carcinogenicity,0.01338915990688213,0.005343226609474694,0.009024640960338861,0.021167837702286443,1.0,False
SkinSen,0.011613540212805695,0.013264252072436407,0.014696999256028997,0.051972199448439824,0.7666666666666667,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.0029382510445908703,0.009544590945010147,-0.010703293996606477,0.037600601380631794,0.3333333333333333,False
H-HT,-0.00680439366729534,0.011051081103166957,-0.01733883914619023,0.04366224231641274,0.3,False
Skin_Sensitization,-0.014276042657684928,0.01143039432243935,-0.00020730234725552254,0.04580849271411045,0.13333333333333333,False
Ames,-0.01781627896418613,0.013650757731733678,-0.03454486294374499,0.05469863319578454,0.1,False
Genotoxicity,-0.02528909370952957,0.010136952521962728,-0.029234185969045333,0.04021493335982758,0.0,False
Ototoxicity,-0.047864794130640924,0.009515678672444532,-0.04748181213808625,0.036922475157666855,0.0,False
Carcinogenicity,-0.10304794505417787,0.009440233732122385,-0.10251645866981124,0.038075149044583693,0.0,False
Hematotoxicity,-0.10817643323484027,0.0144286374843121,-0.10810310990480593,0.05649482662377025,0.0,False
EC,-0.11678711214651541,0.010309399564193753,-0.10730747556134199,0.040381768518711385,0.0,False
DILI,-0.15401278232018473,0.013934337746205136,-0.16072240678306743,0.05496266306283513,0.0,False
EI,-0.21365349701707645,0.008344364450038014,-0.20061672416119355,0.03249080330406443,0.0,False
