method,coverage,coverage_ci_low,coverage_ci_high,mean_width,width_ci_low,width_ci_high,median_width,width_p10,width_p90,mean_interval_score,interval_score_ci_low,interval_score_ci_high,fallback_fraction
global,0.9111201298701299,0.8964641881173215,0.9249054010287528,1.687228675721835,1.6872286757218662,1.6872286757218855,1.687228675721835,1.687228675721835,1.687228675721835,2.4147999149436488,2.2579667380479216,2.5715951227992524,0.0
joint,0.8920454545454546,0.8759479494441825,0.9074965823650034,1.5270999029766144,1.5003794408495665,1.5553679684238733,1.407142957459829,1.1717280263599612,1.9658374289312495,2.2905245546798496,2.12956690521347,2.4534181698078865,0.012581168831168832
pheno,0.9001623376623377,0.8842173189029507,0.9148184593044281,1.6064226339945302,1.5814392701845945,1.6353961648860398,1.4716842316232346,1.2846285946895444,2.0528307173497478,2.3133286628181398,2.1602851872296815,2.470058629626787,0.0036525974025974025
mie,0.9005681818181818,0.8843442842362339,0.9163284288990605,1.5830418564230535,1.5713630257782512,1.5947196594667477,1.5256561443456036,1.4333930928731595,1.7704189741402123,2.360835787892006,2.1890898264295613,2.5291633544187855,0.004464285714285714
joint_h0.6,0.8839285714285714,0.8670347760455874,0.8995076731889231,1.5006047285383355,1.4752056259286015,1.5278372911434348,1.397969066740533,1.1013812504506308,1.9758421738727847,2.3306633815929065,2.1641238219958785,2.5033566329113768,0.08563311688311688
joint_h1.2,0.8916396103896104,0.8757354114156272,0.9071184081273254,1.5302900941304833,1.5089087420016989,1.5541921063446233,1.441708920695726,1.2229583846076473,1.919518464839463,2.3092613783624962,2.140601210835732,2.476362454848982,0.004058441558441558
