quadrant,n,clusters,joint_width,pheno_width,mie_width,coverage,coverage_ci_low,coverage_ci_high,interval_lt_global_n
Pheno+ MIE+,770,604,1.1979994923882982,1.2835326723757128,1.4303745005861204,0.9,0.877166549935433,0.920492526341583,768
Pheno+ MIE-,500,407,1.3825002372718946,1.3503116996154496,1.5220080383811359,0.86,0.824992529880478,0.8942165358723546,373
Pheno- MIE+,534,454,1.54974447301524,1.6109348794997724,1.4301505115758895,0.8764044943820225,0.8485401459854015,0.9046796489108417,246
Pheno- MIE-,737,644,1.648141125080303,1.6679452636669279,1.557597523384248,0.8914518317503393,0.8665745242624323,0.9140939597315436,158
