marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.3579863773048925,0.007259699723037165,0.3546881031187346,0.028984277809306475,1.0,True
hERG-10um,0.3327246216943743,0.007063602616568464,0.33157715147861383,0.028412999534042922,1.0,False
Respiratory,0.32238642460547046,0.008416129000093283,0.3107579375719926,0.0334954371714396,1.0,True
Neurotoxicity-DI,0.2670819280056446,0.008573838433812713,0.2543506596166438,0.03435664950785482,1.0,True
NonGenotoxic_Carcinogenicity,0.03889392129788531,0.008110312418906373,0.037029985840340056,0.03192330133133775,1.0,False
Nephrotoxicity-DI,0.029111617904378766,0.0078746323963179,0.02740952023815011,0.03158500001846123,1.0,False
Acute_Aquatic_Toxicity,0.025324764642337072,0.008173057222264054,0.024279208298116303,0.03292565524731724,1.0,False
SkinSen,0.017053400390950494,0.009055821535851024,0.023875968747974024,0.036017087468915375,1.0,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.008275031655727206,0.010598950149255883,-0.02065768008071585,0.04203345007330284,0.26666666666666666,False
Skin_Sensitization,-0.015007296162457334,0.009358283225336104,-0.011508189137770967,0.0372939484107486,0.03333333333333333,False
H-HT,-0.022071494665436966,0.009270744366323247,-0.029730172724127236,0.036731144786239935,0.0,False
Genotoxicity,-0.03130826513437528,0.00865647933206931,-0.031281902807051905,0.03415949406452456,0.0,False
Ames,-0.04153816385592114,0.00983358282320874,-0.04615762829759919,0.039637038113255765,0.0,False
Ototoxicity,-0.06668270292675688,0.008323215563841021,-0.06647981940479133,0.03200969613410124,0.0,False
Carcinogenicity,-0.09118155803999008,0.008256135180648095,-0.10827444384016784,0.03262843478803226,0.0,False
EC,-0.099806111930379,0.00924915997806578,-0.10461959628006098,0.03670229403217234,0.0,False
Hematotoxicity,-0.11357479334891134,0.008774769935526734,-0.1200043139423095,0.03493087278121069,0.0,False
DILI,-0.18489004038843565,0.008256980790547421,-0.18335998107859589,0.03311070270015924,0.0,False
EI,-0.18799204558512853,0.00987078001211286,-0.19685307776750952,0.03910212798927625,0.0,False
