quadrant,n,clusters,joint_width,pheno_width,mie_width,coverage,coverage_ci_low,coverage_ci_high,interval_lt_global_n
Pheno+ MIE+,767,618,1.1568514658860247,1.2293903639569004,1.3297221388509834,0.910039113428944,0.88669193855099,0.9296880180702918,765
Pheno+ MIE-,555,441,1.3134874034743294,1.291389748101766,1.4596265253195748,0.8756756756756757,0.8454541222278652,0.9045157205657491,423
Pheno- MIE+,492,434,1.4326776598584585,1.5215276860238327,1.3352968416759747,0.8658536585365854,0.8336589846359385,0.897796673897894,268
Pheno- MIE-,740,652,1.5810913744615047,1.5778354390240006,1.493132249299109,0.8918918918918919,0.869157301953662,0.9155337848278253,170
