feature,mean_absolute_shap,group
6kux,0.0010877039594707966,docking
FP_573,0.0010694810847488563,fingerprints
Alarm_NMR,0.0010648333808836135,ADME
FP_1405,0.0010517572208702606,fingerprints
FP_74,0.0010492557122622587,fingerprints
FP_1792,0.001038270134715631,fingerprints
FP_251,0.0010370639767887243,fingerprints
FP_402,0.0010042009302932467,fingerprints
FP_838,0.0009836257420788989,fingerprints
FP_1385,0.0009742871398555722,fingerprints
FP_1998,0.0009724943449962674,fingerprints
FP_13,0.000963546341721372,fingerprints
BMS,0.0009510574609031929,ADME
FP_1693,0.000922651042307393,fingerprints
FP_680,0.0009127192250505284,fingerprints
FP_913,0.0009077697144515805,fingerprints
FP_1199,0.0008801515353168748,fingerprints
7f8y,0.0008705918329678708,docking
FP_1164,0.0008667869291543055,fingerprints
FP_1214,0.0008644363388294103,fingerprints
FP_1404,0.0008570440877702096,fingerprints
FP_523,0.0008552055282749745,fingerprints
FP_414,0.0008438527157281218,fingerprints
FP_715,0.000804846764600916,fingerprints
FP_1156,0.0008021783486389874,fingerprints
FP_841,0.0008015717925905183,fingerprints
6pdj,0.000789914292359046,docking
FP_80,0.0007797396249809638,fingerprints
5u09,0.0007793653724828965,docking
FP_1599,0.0007668037436436836,fingerprints
FP_323,0.0007614524468389701,fingerprints
V1A,0.0007610406720421057,docking
FP_25,0.0007533094743763758,fingerprints
FP_1452,0.000747897035179972,fingerprints
FP_1999,0.000745816750379723,fingerprints
FP_735,0.0007409466773167481,fingerprints
FP_1543,0.000738365615992519,fingerprints
FP_1274,0.0007376514009004031,fingerprints
FP_1991,0.0007356414677689036,fingerprints
FP_1001,0.0007252553975940227,fingerprints
4iar,0.0007151282595391342,docking
FP_497,0.0007103925316828618,fingerprints
FP_1866,0.0007024739310342225,fingerprints
FP_1357,0.0006995011651747886,fingerprints
FP_1530,0.000697953565902773,fingerprints
FP_586,0.0006735046824458185,fingerprints
FP_489,0.0006621321770223072,fingerprints
FP_179,0.0006430743950229795,fingerprints
FP_1804,0.0006371876880494022,fingerprints
FP_694,0.0006259277315061967,fingerprints
FP_823,0.000608846559528597,fingerprints
FP_1573,0.0006029249555321543,fingerprints
FP_1360,0.0006020989512551066,fingerprints
FP_297,0.0005881574827546739,fingerprints
FP_1657,0.0005769648021546614,fingerprints
FP_1856,0.0005757601574491302,fingerprints
FP_1136,0.0005741932529722189,fingerprints
FP_794,0.0005724044063651429,fingerprints
FP_308,0.0005694238586805344,fingerprints
FP_716,0.0005684064987344065,fingerprints
FP_1123,0.0005597719175188648,fingerprints
FP_270,0.0005555874819521657,fingerprints
FP_628,0.0005537424387785323,fingerprints
3ln1,0.000552462684294143,docking
FP_1155,0.0005516204591725352,fingerprints
FP_109,0.0005466500131956717,fingerprints
FP_310,0.0005436141484447296,fingerprints
FP_1889,0.0005422833585583944,fingerprints
FP_486,0.0005309904868958054,fingerprints
FP_1280,0.000526149007599505,fingerprints
FP_989,0.0005254725447526649,fingerprints
FP_709,0.0005214267151848013,fingerprints
FP_803,0.0005148342723877901,fingerprints
FP_832,0.0005103870428464548,fingerprints
FP_147,0.0005093821994356935,fingerprints
FP_598,0.0005081662311869436,fingerprints
FP_1380,0.00048446434998452437,fingerprints
FP_643,0.00047559764483951904,fingerprints
FP_303,0.00047392791451652015,fingerprints
FP_555,0.000470110524244733,fingerprints
FP_1326,0.00047005099617070253,fingerprints
FP_1386,0.0004681040615904692,fingerprints
FP_116,0.0004667217187172825,fingerprints
FP_1816,0.0004619576720150062,fingerprints
FP_478,0.0004601821682519252,fingerprints
FP_222,0.00045970058474563354,fingerprints
FP_1044,0.0004556384908515623,fingerprints
FP_1387,0.0004549215895242839,fingerprints
FP_1290,0.0004515955092972445,fingerprints
FP_1384,0.0004487138427249359,fingerprints
FP_1017,0.00044595309754444476,fingerprints
FP_1855,0.00044386399747250283,fingerprints
FP_840,0.0004433166413520318,fingerprints
FP_1411,0.00044280810291648734,fingerprints
FP_690,0.00044207129902368536,fingerprints
FP_1817,0.0004387139085808952,fingerprints
FP_127,0.00042742459189726485,fingerprints
FP_679,0.00042356846089907263,fingerprints
FP_1771,0.000419524168817132,fingerprints
FP_387,0.0004134110250173192,fingerprints
FP_1434,0.00041167510037792794,fingerprints
FP_897,0.00040620506921876226,fingerprints
FP_753,0.0004058086364173149,fingerprints
FP_1437,0.0004046563604962139,fingerprints
FP_768,0.0003985369476920737,fingerprints
FP_1564,0.0003966449554116042,fingerprints
FP_92,0.0003912684097411477,fingerprints
FP_784,0.0003843732571437999,fingerprints
FP_336,0.0003805319827871304,fingerprints
FP_1224,0.0003795731634132405,fingerprints
FP_590,0.0003786512380764978,fingerprints
FP_1716,0.00037238249738497987,fingerprints
FP_94,0.00036941940321281633,fingerprints
FP_1393,0.0003656934165651837,fingerprints
FP_121,0.0003656090643782266,fingerprints
FP_448,0.00036232279973926515,fingerprints
FP_1921,0.0003571334180597738,fingerprints
FP_328,0.0003565438391259212,fingerprints
FP_842,0.0003532995193051235,fingerprints
FP_191,0.00033367465887745846,fingerprints
FP_1480,0.0003304212901598306,fingerprints
FP_1996,0.00032992063026047287,fingerprints
FP_1171,0.0003268386799428232,fingerprints
FP_107,0.00032131610774166025,fingerprints
FP_1465,0.00031791941466332484,fingerprints
FP_1561,0.0003107533813447002,fingerprints
FP_879,0.000308774976777243,fingerprints
FP_693,0.00030293653255042614,fingerprints
FP_197,0.0002960192829597168,fingerprints
FP_24,0.00029118209437312007,fingerprints
FP_111,0.00029055961697221374,fingerprints
FP_1660,0.0002867543112298134,fingerprints
FP_1037,0.00028583663460638543,fingerprints
FP_1281,0.0002828203775445382,fingerprints
FP_904,0.000282430215487952,fingerprints
FP_1758,0.0002805344759770697,fingerprints
FP_1330,0.00027937086321242193,fingerprints
FP_452,0.0002791882497383597,fingerprints
FP_998,0.00027619396531796065,fingerprints
FP_1278,0.0002759873581052797,fingerprints
FP_1697,0.00027367019489112093,fingerprints
FP_1603,0.0002733694486720556,fingerprints
FP_689,0.00027208199732228376,fingerprints
FP_1348,0.000271296030352503,fingerprints
FP_366,0.0002712422533133519,fingerprints
FP_469,0.00027076114483948156,fingerprints
FP_722,0.00026953192085119526,fingerprints
FP_974,0.000269187540177575,fingerprints
FP_824,0.0002676075138403589,fingerprints
FP_326,0.00026739103019327574,fingerprints
FP_67,0.00026084933393205763,fingerprints
FP_1842,0.0002603462734204213,fingerprints
FP_1317,0.00026032030823224423,fingerprints
FP_5,0.0002586395151108075,fingerprints
FP_286,0.0002579880507931068,fingerprints
FP_606,0.00025773042362450924,fingerprints
FP_1219,0.00025768310771989375,fingerprints
FP_172,0.0002576437831187849,fingerprints
FP_1416,0.00025493865114548396,fingerprints
FP_1138,0.0002545178542074247,fingerprints
FP_1009,0.00025087124879028525,fingerprints
FP_1610,0.00025038074009964766,fingerprints
FP_1809,0.00024867823976181804,fingerprints
FP_271,0.000245632844808395,fingerprints
FP_237,0.0002450907081818315,fingerprints
FP_51,0.0002449011918461331,fingerprints
FP_1590,0.00023914715028667283,fingerprints
FP_146,0.00023876635152129358,fingerprints
FP_1507,0.00023831629203950055,fingerprints
FP_1182,0.00023821664386545468,fingerprints
FP_1475,0.00023680805612792365,fingerprints
FP_1606,0.00023372188733283245,fingerprints
FP_888,0.0002303698704893976,fingerprints
FP_2045,0.00022987549166793406,fingerprints
FP_450,0.00022540706420527869,fingerprints
FP_980,0.00022528803120074536,fingerprints
FP_151,0.0002252241625656689,fingerprints
FP_1808,0.00022375916257338848,fingerprints
FP_1765,0.00022280772190237506,fingerprints
FP_595,0.00022128336263719863,fingerprints
FP_157,0.0002208009609828904,fingerprints
FP_282,0.00022007607522522724,fingerprints
FP_1020,0.00021892882520846462,fingerprints
FP_1128,0.00021736666276521657,fingerprints
FP_1663,0.0002172880544941744,fingerprints
FP_720,0.0002151994993350921,fingerprints
FP_37,0.00021453621161272532,fingerprints
FP_1459,0.00021374707568591855,fingerprints
FP_190,0.00021086803906658722,fingerprints
FP_850,0.00021022605229489518,fingerprints
FP_2018,0.00020756307976961853,fingerprints
FP_1532,0.000206039415087541,fingerprints
FP_634,0.00020416448391029197,fingerprints
FP_1066,0.00020245903101342162,fingerprints
FP_1096,0.00020172356036046366,fingerprints
FP_884,0.00020167224596938274,fingerprints
FP_1949,0.00020111935344472855,fingerprints
FP_1600,0.00019880416175922558,fingerprints
FP_1429,0.00019692465648447677,fingerprints
FP_1568,0.00019668502047025677,fingerprints
FP_125,0.00019625617080635434,fingerprints
FP_1516,0.00019550615227884762,fingerprints
FP_183,0.00019549839259537885,fingerprints
FP_2043,0.00019349287833670163,fingerprints
FP_982,0.00019080119330171702,fingerprints
FP_495,0.00018936833231193652,fingerprints
FP_902,0.0001875687845298729,fingerprints
FP_263,0.00018600237678388946,fingerprints
FP_63,0.0001816125279621457,fingerprints
FP_1258,0.00018086176722561948,fingerprints
FP_487,0.00017913241838809105,fingerprints
FP_769,0.00017901012232139212,fingerprints
FP_1619,0.00017889840101152315,fingerprints
FP_1293,0.00017841593193125102,fingerprints
FP_1312,0.0001782113934929734,fingerprints
FP_822,0.00017765323925308078,fingerprints
FP_329,0.00017636292966851326,fingerprints
FP_1424,0.0001729251973687441,fingerprints
FP_1202,0.00017213595464459725,fingerprints
FP_122,0.00017050290106365853,fingerprints
FP_1443,0.00017040577207303286,fingerprints
FP_1267,0.00016943474453988967,fingerprints
FP_764,0.00016694018052293674,fingerprints
FP_456,0.000165178578435758,fingerprints
FP_1849,0.00016505309568951037,fingerprints
FP_1376,0.00016501938598394118,fingerprints
FP_806,0.00016183615525689957,fingerprints
FP_987,0.000161198283534831,fingerprints
FP_2007,0.00016110106001667742,fingerprints
FP_1539,0.00015960061471266226,fingerprints
FP_1522,0.00015950491380316368,fingerprints
FP_1759,0.00015710106079904013,fingerprints
FP_1287,0.00015344727273928482,fingerprints
FP_354,0.00015338875549256517,fingerprints
FP_11,0.00015090890375151292,fingerprints
FP_732,0.00015020635034468174,fingerprints
FP_826,0.000150134103112414,fingerprints
FP_829,0.0001480727553833528,fingerprints
FP_84,0.0001478322747194217,fingerprints
FP_1352,0.00014663929969686737,fingerprints
FP_203,0.000142580674516548,fingerprints
FP_1077,0.00014234014268741556,fingerprints
FP_1822,0.00014102487994307114,fingerprints
FP_1653,0.00013640081265904217,fingerprints
FP_1008,0.0001350526625705535,fingerprints
FP_427,0.00013397025739468707,fingerprints
FP_1327,0.00013359367671577748,fingerprints
FP_1797,0.00013274809490760228,fingerprints
FP_1669,0.0001306447261969624,fingerprints
FP_570,0.00012987267795570433,fingerprints
FP_106,0.00012954538136696238,fingerprints
FP_755,0.0001292025922552335,fingerprints
FP_502,0.0001289903155777193,fingerprints
FP_419,0.00012892291393933625,fingerprints
FP_549,0.00012789817869471448,fingerprints
FP_1322,0.0001262559378038887,fingerprints
FP_1225,0.00012582196101922256,fingerprints
FP_1939,0.000125017633770327,fingerprints
FP_1882,0.00012319403831041143,fingerprints
FP_117,0.00012132450570791626,fingerprints
FP_1369,0.0001211045057349015,fingerprints
FP_1563,0.00011641771658295283,fingerprints
FP_1779,0.00011591502059346808,fingerprints
FP_1490,0.00011379430127865381,fingerprints
