marker,rho_training_mean,rho_training_sd,rho_internal_validation_mean,rho_internal_validation_sd,positive_training_fraction,selected
hERG,0.36911583303889695,0.009039789751814431,0.376161317425879,0.03609441387996423,1.0,True
hERG-10um,0.35080199390666134,0.009737335828814411,0.35708124435839284,0.039092398585541255,1.0,False
Respiratory,0.3370854071205916,0.007381216080710616,0.33698432870626166,0.02998443336522681,1.0,True
Neurotoxicity-DI,0.28428700325344053,0.009976937863322741,0.28598588742178194,0.039572846953367276,1.0,True
NonGenotoxic_Carcinogenicity,0.04052230970732892,0.010456126739093755,0.04014431946127806,0.037420168673073496,1.0,False
Nephrotoxicity-DI,0.03315231398310599,0.009761538916264537,0.0237655741231335,0.03792706377512467,1.0,False
Acute_Aquatic_Toxicity,0.02774642932738548,0.009048603280066009,0.038473585486235584,0.03611003181856332,1.0,False
SkinSen,0.015605926113395886,0.011199740892378006,0.006855181641451776,0.045054372643148356,0.9333333333333333,False
Genotoxic_Carcinogenicity_Mutagenicity,-0.009199040213599007,0.008923882407307718,-0.01251132648733107,0.03434486112745557,0.1,False
Genotoxicity,-0.011847330357788595,0.011971921674003854,-0.03624758431060611,0.046568542101740926,0.1,False
Skin_Sensitization,-0.01555175132724131,0.011201359907511777,-0.02792347334386207,0.044205754788636226,0.1,False
H-HT,-0.024475226567435608,0.009057158581031677,-0.022031453087899205,0.03661122188714532,0.0,False
Ames,-0.03527292937455924,0.010870122919102825,-0.02694635249787301,0.04273293131459767,0.0,False
Ototoxicity,-0.06264279393158405,0.00903910266451763,-0.0765845911063521,0.035733417238140455,0.0,False
EC,-0.10413159214278829,0.010489769878698279,-0.08527189663551309,0.04167017142061847,0.0,False
Carcinogenicity,-0.10420085066356823,0.009676135967566994,-0.0880661025929221,0.038967963996452956,0.0,False
Hematotoxicity,-0.1214518205695409,0.011164763711821402,-0.11739254644392598,0.04429966859086807,0.0,False
DILI,-0.19955259053297925,0.011813037765661633,-0.1891970763630307,0.04735520005943016,0.0,False
EI,-0.20900680915547076,0.00837283645640111,-0.18926936554163817,0.03331420738662976,0.0,False
